SeqId	SomaId	UNIPROT	Target	TargetFullName	EntrezGeneID	EntrezGeneSymbol	uniprot_gn_id	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	ensembl_gene_id	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38
10022-207	SL019229	Q9Y253	POLH	DNA polymerase eta	5429	POLH	Q9Y253	POLH	5429	POLH	HGNC:9181	POLH	ENSG00000170734	POLH	protein_coding	6	43543878	43588260	+	43576185	43620523	+
10023-32	SL004071	P11473	VDR	Vitamin D3 receptor	7421	VDR	P11473	VDR	7421	VDR	HGNC:12679	VDR	ENSG00000111424	VDR	protein_coding	12	48235320	48298814	-	47841537	47943048	-
10024-44	SL019235	Q86XE5	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	112817	HOGA1	Q86XE5	HOGA1	112817	HOGA1	HGNC:25155	HOGA1	ENSG00000241935	HOGA1	protein_coding	10	99344102	99372555	+	97584323	97612802	+
10025-1	SL008018	P09622	DLDH	Dihydrolipoyl dehydrogenase, mitochondrial	1738	DLD	P09622	DLD	1738	DLD	HGNC:2898	DLD	ENSG00000091140	DLD	protein_coding	7	107531586	107561643	+	107891162	107931730	+
10030-8	SL006373	Q9UIF7	MutY homolog	Adenine DNA glycosylase	4595	MUTYH	Q9UIF7	MUTYH	4595	MUTYH	HGNC:7527	MUTYH	ENSG00000132781	MUTYH	protein_coding	1	45794914	45806142	-	45329163	45491155	-
10035-6	SL007389	Q13115	DUS4	Dual specificity protein phosphatase 4	1846	DUSP4	Q13115	DUSP4	1846	DUSP4	HGNC:3070	DUSP4	ENSG00000120875	DUSP4	protein_coding	8	29190579	29208267	-	29333064	29350684	-
10036-201	SL019252	Q9H4I2	ZHX3	Zinc fingers and homeoboxes protein 3	23051	ZHX3	Q9H4I2	ZHX3	23051	ZHX3	HGNC:15935	ZHX3	ENSG00000174306	ZHX3	protein_coding	20	39807089	39946242	-	41178448	41317731	-
10037-98	SL025986	Q96PQ1	SIG12:Ig-like V-type 2	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	89858	SIGLEC12	Q96PQ1	SIGLEC12	89858	SIGLEC12	HGNC:15482	SIGLEC12	ENSG00000254521	SIGLEC12	protein_coding	19	51994613	52005043	-	51491227	51501800	-
10039-32	SL005262	P00491	PNP	Purine nucleoside phosphorylase	4860	PNP	P00491	PNP	4860	PNP	HGNC:7892	PNP	ENSG00000198805	PNP	protein_coding	14	20937538	20946165	+	20461992	20477094	+
10040-63	SL007662	Q9H3D4	P73L	Tumor protein 63	8626	TP63	Q9H3D4	TP63	8626	TP63	HGNC:15979	TP63	ENSG00000073282	TP63	protein_coding	3	189349216	189615068	+	189631389	189897276	+
10041-3	SL007226	P41235	HNF4A	Hepatocyte nuclear factor 4-alpha	3172	HNF4A	P41235	HNF4A	3172	HNF4A	HGNC:5024	HNF4A	ENSG00000101076	HNF4A	protein_coding	20	42984441	43061485	+	44355699	44432845	+
10042-8	SL015131	Q96BR1	SGK3	Serine/threonine-protein kinase Sgk3	23678	SGK3	Q96BR1	SGK3	23678	SGK3	HGNC:10812	SGK3	ENSG00000104205	SGK3	protein_coding	8	67624653	67774257	+	66712734	66862022	+
10043-31	SL019249	O60885	BRD4	Bromodomain-containing protein 4	23476	BRD4	O60885	BRD4	23476	BRD4	HGNC:13575	BRD4	ENSG00000141867	BRD4	protein_coding	19	15348301	15443342	-	15235519	15332545	-
10044-12	SL012823	Q9GZT5	WN10A	Protein Wnt-10a	80326	WNT10A	Q9GZT5	WNT10A	80326	WNT10A	HGNC:13829	WNT10A	ENSG00000135925	WNT10A	protein_coding	2	219745255	219758651	+	218880852	218893928	+
10045-47	SL010989	Q13618	CUL3	Cullin-3	8452	CUL3	Q13618	CUL3	8452	CUL3	HGNC:2553	CUL3	ENSG00000036257	CUL3	protein_coding	2	225334867	225450114	-	224470150	224585397	-
10046-55	SL003727	Q13490	cIAP-1	Baculoviral IAP repeat-containing protein 2	329	BIRC2	Q13490	BIRC2	329	BIRC2	HGNC:590	BIRC2	ENSG00000110330	BIRC2	protein_coding	11	102217913	102249401	+	102347211	102378670	+
10047-12	SL004553	P19878	NCF-2	Neutrophil cytosol factor 2	4688	NCF2	P19878	NCF2	4688	NCF2	HGNC:7661	NCF2	ENSG00000116701	NCF2	protein_coding	1	183524697	183560056	-	183554461	183590905	-
10047-7	SL004553	P19878	NCF-2	Neutrophil cytosol factor 2	4688	NCF2	P19878	NCF2	4688	NCF2	HGNC:7661	NCF2	ENSG00000116701	NCF2	protein_coding	1	183524697	183560056	-	183554461	183590905	-
10048-7	SL011998	Q13951	PEBB	Core-binding factor subunit beta	865	CBFB	Q13951	CBFB	865	CBFB	HGNC:1539	CBFB	ENSG00000067955	CBFB	protein_coding	16	67063050	67134958	+	67028984	67101058	+
10049-112	SL019242	P54274	TERF1	Telomeric repeat-binding factor 1	7013	TERF1	P54274	TERF1	7013	TERF1	HGNC:11728	TERF1	ENSG00000147601	TERF1	protein_coding	8	73921097	73959987	+	73008856	73048123	+
10053-5	SL004474	Q13418	ILK1	Integrin-linked protein kinase	3611	ILK	Q13418	ILK	3611	ILK	HGNC:6040	ILK	ENSG00000166333	ILK	protein_coding	11	6624964	6632099	+	6603708	6610874	+
10054-3	SL019232	Q9H2C0	GAN	Gigaxonin	8139	GAN	Q9H2C0	GAN	8139	GAN	HGNC:4137	GAN	ENSG00000261609	GAN	protein_coding	16	81348571	81413803	+	81314944	81390809	+
10056-5	SL007372	Q08050	FOXM1	Forkhead box protein M1	2305	FOXM1	Q08050	FOXM1	2305	FOXM1	HGNC:3818	FOXM1	ENSG00000111206	FOXM1	protein_coding	12	2966847	2986321	-	2857680	2877174	-
10058-1	SL013796	P54725	RD23A	UV excision repair protein RAD23 homolog A	5886	RAD23A	P54725	RAD23A	5886	RAD23A	HGNC:9812	RAD23A	ENSG00000179262	RAD23A	protein_coding	19	13056628	13064457	+	12945855	12953642	+
10063-10	SL019237	Q9NW38	FANCL	E3 ubiquitin-protein ligase FANCL	55120	FANCL	Q9NW38	FANCL	55120	FANCL	HGNC:20748	FANCL	ENSG00000115392	FANCL	protein_coding	2	58386378	58468515	-	58159243	58241410	-
10064-12	SL011550	O75884	RBBP9	Putative hydrolase RBBP9	10741	RBBP9	O75884	RBBP9	10741	RBBP9	HGNC:9892	RBBP9	ENSG00000089050	RBBP9	protein_coding	20	18467188	18477887	-	18486540	18497225	-
10069-2	SL013908	Q13526	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	5300	PIN1	Q13526	PIN1	5300	PIN1	HGNC:8988	PIN1	ENSG00000127445	PIN1	protein_coding	19	9945883	9960365	+	9835257	9849689	+
10070-22	SL016406	P16885	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	5336	PLCG2	NA	PLCG2	5336	PLCG2	HGNC:9066	PLCG2	ENSG00000197943	PLCG2	protein_coding	16	81812899	81991899	+	81739033	81962685	+
10073-22	SL011411	Q9NUW8	TYDP1	Tyrosyl-DNA phosphodiesterase 1	55775	TDP1	Q9NUW8	TDP1	55775	TDP1	HGNC:18884	TDP1	ENSG00000042088	TDP1	protein_coding	14	90421283	90511108	+	89954939	90044764	+
10074-128	SL014748	P25440	BRD2	Bromodomain-containing protein 2	6046	BRD2	P25440	BRD2	6046	BRD2	HGNC:1103	BRD2	ENSG00000204256	BRD2	protein_coding	6	32936437	32949282	+	32968594	32981505	+
10075-75	SL019254	Q9BR61	ACBD6	Acyl-CoA-binding domain-containing protein 6	84320	ACBD6	NA	ACBD6	84320	ACBD6	HGNC:23339	ACBD6	ENSG00000230124	ACBD6	protein_coding	1	180257352	180472022	-	180269653	180502954	-
10076-1	SL019225	O00189	AP4M1	AP-4 complex subunit mu-1	9179	AP4M1	O00189	AP4M1	9179	AP4M1	HGNC:574	AP4M1	ENSG00000221838	AP4M1	protein_coding	7	99699130	99707942	+	100100858	100110345	+
10078-5	SL007063	O95817	BAG3	BAG family molecular chaperone regulator 3	9531	BAG3	O95817	BAG3	9531	BAG3	HGNC:939	BAG3	ENSG00000151929	BAG3	protein_coding	10	121410882	121437329	+	119651380	119677819	+
10080-9	SL019240	Q14232	EI2BA	Translation initiation factor eIF-2B subunit alpha	1967	EIF2B1	Q14232	EIF2B1	1967	EIF2B1	HGNC:3257	EIF2B1	ENSG00000111361	EIF2B1	protein_coding	12	124105570	124118323	-	123620406	123633766	-
10081-17	SL019243	Q9UPW6	SATB2	DNA-binding protein SATB2	23314	SATB2	Q9UPW6	SATB2	23314	SATB2	HGNC:21637	SATB2	ENSG00000119042	SATB2	protein_coding	2	200134223	200335989	-	199269505	199471266	-
10082-251	SL019251	P07196	NFL	Neurofilament light polypeptide	4747	NEFL	P07196	NEFL	4747	NEFL	HGNC:7739	NEFL	ENSG00000277586	NEFL	protein_coding	8	24808469	24814383	-	24950955	24956612	-
10085-25	SL001714	P49675	STAR	Steroidogenic acute regulatory protein, mitochondrial	6770	STAR	P49675	STAR	6770	STAR	HGNC:11359	STAR	ENSG00000147465	STAR	protein_coding	8	38000218	38008600	-	38142700	38150992	-
10086-39	SL018882	P35520	CBS	Cystathionine beta-synthase	875	CBS	NA	CBS	875	CBS	HGNC:1550	CBS	ENSG00000160200	CBS	protein_coding	21	44473301	44496472	-	43053191	43076943	-
10087-10	SL003675	P02489	Alpha crystallin A chain	Alpha-crystallin A chain	1409	CRYAA	NA	CRYAA	1409	CRYAA	HGNC:2388	CRYAA	ENSG00000160202	CRYAA	protein_coding	21	44589141	44592913	+	43169008	43172805	+
10088-37	SL008014	P07741	APT	Adenine phosphoribosyltransferase	353	APRT	P07741	APRT	353	APRT	HGNC:626	APRT	ENSG00000198931	APRT	protein_coding	16	88875877	88878342	-	88809339	88811937	-
10089-7	SL019244	O95671	ASML	N-acetylserotonin O-methyltransferase-like protein	8623	ASMTL	NA	ASMTL	8623	ASMTL	HGNC:751	ASMTL	ENSG00000292339	ASMTL	protein_coding	Y	1472032	1522655	-	1403139	1453762	-
10336-3	SL019100	Q9UNE7	CHIP	E3 ubiquitin-protein ligase CHIP	10273	STUB1	Q9UNE7	STUB1	10273	STUB1	HGNC:11427	STUB1	ENSG00000103266	STUB1	protein_coding	16	730115	732768	+	680224	682801	+
10339-48	SL001731	P09104	NSE	Gamma-enolase	2026	ENO2	P09104	ENO2	2026	ENO2	HGNC:3353	ENO2	ENSG00000111674	ENO2	protein_coding	12	7023614	7032859	+	6913745	6923698	+
10342-55	SL019096	Q8N2W9	PIAS4	E3 SUMO-protein ligase PIAS4	51588	PIAS4	Q8N2W9	PIAS4	51588	PIAS4	HGNC:17002	PIAS4	ENSG00000105229	PIAS4	protein_coding	19	4007749	4038067	+	4007736	4039386	+
10344-334	SL005173	Q13651	IL-10 Ra	Interleukin-10 receptor subunit alpha	3587	IL10RA	Q13651	IL10RA	3587	IL10RA	HGNC:5964	IL10RA	ENSG00000110324	IL10RA	protein_coding	11	117857106	117872199	+	117986370	118003037	+
10346-5	SL007221	P40763	STAT3	Signal transducer and activator of transcription 3	6774	STAT3	P40763	STAT3	6774	STAT3	HGNC:11364	STAT3	ENSG00000168610	STAT3	protein_coding	17	40465343	40540513	-	42313324	42388568	-
10351-51	SL007108	P10914	IRF1	Interferon regulatory factor 1	3659	IRF1	P10914	IRF1	3659	IRF1	HGNC:6116	IRF1	ENSG00000125347	IRF1	protein_coding	5	131776132	131831259	-	132440440	132508719	-
10354-57	SL007221	P40763	STAT3	Signal transducer and activator of transcription 3	6774	STAT3	P40763	STAT3	6774	STAT3	HGNC:11364	STAT3	ENSG00000168610	STAT3	protein_coding	17	40465343	40540513	-	42313324	42388568	-
10356-21	SL000455	P05412	c-Jun	Transcription factor AP-1	3725	JUN	P05412	JUN	3725	JUN	HGNC:6204	JUN	ENSG00000177606	JUN	protein_coding	1	59246463	59249785	-	58780791	58784047	-
10361-25	SL014684	P00973	OAS1	2'-5'-oligoadenylate synthase 1	4938	OAS1	P00973	OAS1	4938	OAS1	HGNC:8086	OAS1	ENSG00000089127	OAS1	protein_coding	12	113344739	113369990	+	112905856	112933219	+
10362-35	SL002565	P01106	c-Myc	Myc proto-oncogene protein	4609	MYC	P01106	MYC	4609	MYC	HGNC:7553	MYC	ENSG00000136997	MYC	protein_coding	8	128747765	128753680	+	127735434	127742951	+
10363-13	SL004097	P84022	SMAD3	Mothers against decapentaplegic homolog 3	4088	SMAD3	P84022	SMAD3	4088	SMAD3	HGNC:6769	SMAD3	ENSG00000166949	SMAD3	protein_coding	15	67358195	67487533	+	67063763	67195173	+
10364-6	SL004101	Q15796	SMAD2	Mothers against decapentaplegic homolog 2	4087	SMAD2	Q15796	SMAD2	4087	SMAD2	HGNC:6768	SMAD2	ENSG00000175387	SMAD2	protein_coding	18	45359466	45457517	-	47808957	47931146	-
10365-132	SL005184	P29460	IL-23	Interleukin-23	3593	IL12B	NA	IL12B	3593	IL12B	HGNC:5970	IL12B	ENSG00000113302	IL12B	protein_coding	5	158741791	158757481	-	159314780	159330863	-
10365-132	SL005184	Q9NPF7	IL-23	Interleukin-23	3593	IL12B	NA	IL23A	51561	IL23A	HGNC:15488	IL23A	ENSG00000110944	IL23A	protein_coding	12	56732663	56734194	+	56334174	56340410	+
10366-11	SL001728	P16234	PDGFRA	Platelet-derived growth factor receptor alpha	5156	PDGFRA	P16234	PDGFRA	5156	PDGFRA	HGNC:8803	PDGFRA	ENSG00000134853	PDGFRA	protein_coding	4	54243820	55164412	+	53377839	54298245	+
10367-62	SL001716	P29459	IL-12	Interleukin-12	3592	IL12A	NA	IL12A	3592	IL12A	HGNC:5969	IL12A	ENSG00000168811	IL12A	protein_coding	3	159706623	159713806	+	159988835	159996019	+
10367-62	SL001716	P29460	IL-12	Interleukin-12	3592	IL12A	NA	IL12B	3593	IL12B	HGNC:5970	IL12B	ENSG00000113302	IL12B	protein_coding	5	158741791	158757481	-	159314780	159330863	-
10370-21	SL004396	P42224	STAT1	Signal transducer and activator of transcription 1-alpha/beta	6772	STAT1	P42224	STAT1	6772	STAT1	HGNC:11362	STAT1	ENSG00000115415	STAT1	protein_coding	2	191833762	191878976	-	190908460	191020960	-
10372-18	SL007229	P42226	STAT6	Signal transducer and activator of transcription 6	6778	STAT6	P42226	STAT6	6778	STAT6	HGNC:11368	STAT6	ENSG00000166888	STAT6	protein_coding	12	57489187	57522883	-	57095408	57132139	-
10382-1	SL006803	Q9Y5C1	ANGL3	Angiopoietin-related protein 3	27329	ANGPTL3	Q9Y5C1	ANGPTL3	27329	ANGPTL3	HGNC:491	ANGPTL3	ENSG00000132855	ANGPTL3	protein_coding	1	63063158	63071976	+	62597520	62606313	+
10387-1	SL002689	P16860	BNP	Natriuretic peptides B	4879	NPPB	P16860	NPPB	4879	NPPB	HGNC:7940	NPPB	ENSG00000120937	NPPB	protein_coding	1	11917521	11918992	-	11857464	11858945	-
10390-21	SL018971	Q9ULT6	ZNRF3	E3 ubiquitin-protein ligase ZNRF3	84133	ZNRF3	Q9ULT6	ZNRF3	84133	ZNRF3	HGNC:18126	ZNRF3	ENSG00000183579	ZNRF3	protein_coding	22	29279755	29453476	+	28883572	29057488	+
10391-1	SL006803	Q9Y5C1	ANGL3	Angiopoietin-related protein 3	27329	ANGPTL3	Q9Y5C1	ANGPTL3	27329	ANGPTL3	HGNC:491	ANGPTL3	ENSG00000132855	ANGPTL3	protein_coding	1	63063158	63071976	+	62597520	62606313	+
10396-6	SL003755	Q07820	Mcl-1	Induced myeloid leukemia cell differentiation protein Mcl-1	4170	MCL1	NA	MCL1	4170	MCL1	HGNC:6943	MCL1	ENSG00000143384	MCL1	protein_coding	1	150547027	150552214	-	150563102	150579738	-
10398-110	SL019275	Q15327	ANKR1	Ankyrin repeat domain-containing protein 1	27063	ANKRD1	Q15327	ANKRD1	27063	ANKRD1	HGNC:15819	ANKRD1	ENSG00000148677	ANKRD1	protein_coding	10	92671857	92681032	-	90912096	90921087	-
10418-36	SL011111	Q86Y82	STX12	Syntaxin-12	23673	STX12	Q86Y82	STX12	23673	STX12	HGNC:11430	STX12	ENSG00000117758	STX12	protein_coding	1	28099694	28150963	+	27773219	27824443	+
10419-1	SL014110	Q6ZMJ2	SCAR5	Scavenger receptor class A member 5	286133	SCARA5	Q6ZMJ2	SCARA5	286133	SCARA5	HGNC:28701	SCARA5	ENSG00000168079	SCARA5	protein_coding	8	27727399	27850369	-	27869883	27992673	-
10420-30	SL018037	Q9NVQ4	FAIM1	Fas apoptotic inhibitory molecule 1	55179	FAIM	Q9NVQ4	FAIM	55179	FAIM	HGNC:18703	FAIM	ENSG00000158234	FAIM	protein_coding	3	138327542	138352213	+	138608606	138633376	+
10424-31	SL015264	Q9NQX5	NPDC1	Neural proliferation differentiation and control protein 1	56654	NPDC1	Q9NQX5	NPDC1	56654	NPDC1	HGNC:7899	NPDC1	ENSG00000107281	NPDC1	protein_coding	9	139933909	139940676	-	137039463	137046179	-
10425-3	SL017972	O43286	B4GT5	Beta-1,4-galactosyltransferase 5	9334	B4GALT5	O43286	B4GALT5	9334	B4GALT5	HGNC:928	B4GALT5	ENSG00000158470	B4GALT5	protein_coding	20	48249483	48330421	-	49632945	49713878	-
10426-21	SL018004	O14653	GOSR2	Golgi SNAP receptor complex member 2	9570	GOSR2	O14653	GOSR2	9570	GOSR2	HGNC:4431	GOSR2	ENSG00000108433	GOSR2	protein_coding	17	45000486	45104994	+	46923075	47049932	+
10428-1	SL018045	P43631	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	100132285	KIR2DS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10430-31	SL025780	P08195	4F2:CD	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	6520	SLC3A2	P08195	SLC3A2	6520	SLC3A2	HGNC:11026	SLC3A2	ENSG00000168003	SLC3A2	protein_coding	11	62623484	62656355	+	62856004	62888880	+
10432-3	SL018002	Q3SXP7	K1644	Uncharacterized protein KIAA1644	85352	SHISAL1	Q3SXP7	SHISAL1	85352	SHISAL1	HGNC:29335	SHISAL1	ENSG00000138944	SHISAL1	protein_coding	22	44639557	44708731	-	44243665	44312951	-
10435-2	SL008645	P20933	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	175	AGA	P20933	AGA	175	AGA	HGNC:318	AGA	ENSG00000038002	AGA	protein_coding	4	178351929	178363657	-	177430774	177442437	-
10438-19	SL007128	P15509	CSF2R	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	1438	CSF2RA	NA	CSF2RA	1438	CSF2RA	HGNC:2435	CSF2RA	ENSG00000292357	CSF2RA	protein_coding	Y	1337693	1378828	+	1268800	1310381	+
10439-57	SL005393	P19961	Alpha-amylase 2B	Alpha-amylase 2B	280	AMY2B	P19961	AMY2B	280	AMY2B	HGNC:478	AMY2B	ENSG00000240038	AMY2B	protein_coding	1	104078748	104153092	+	103553815	103579534	+
10440-26	SL025782	Q9H6B4	ACAM:ECD	CXADR-like membrane protein:Extracellular domain	79827	CLMP	Q9H6B4	CLMP	79827	CLMP	HGNC:24039	CLMP	ENSG00000166250	CLMP	protein_coding	11	122943033	123066007	-	123069872	123195248	-
10442-1	SL018089	Q8WZ59	TM190	Transmembrane protein 190	147744	TMEM190	Q8WZ59	TMEM190	147744	TMEM190	HGNC:29632	TMEM190	ENSG00000160472	TMEM190	protein_coding	19	55888204	55889612	+	55376826	55378246	+
10445-20	SL004747	O95445	ApoM	Apolipoprotein M	55937	APOM	O95445	APOM	55937	APOM	HGNC:13916	APOM	ENSG00000204444	APOM	protein_coding	6	31620187	31625987	+	31652416	31658210	+
10447-18	SL018138	Q9H361	PABP3	Polyadenylate-binding protein 3	5042	PABPC3	Q9H361	PABPC3	5042	PABPC3	HGNC:8556	PABPC3	ENSG00000151846	PABPC3	protein_coding	13	25670276	25672704	+	25096136	25099254	+
10449-31	SL008887	Q6UWI4	TMM46	Protein shisa-2 homolog	387914	SHISA2	Q6UWI4	SHISA2	387914	SHISA2	HGNC:20366	SHISA2	ENSG00000180730	SHISA2	protein_coding	13	26618735	26625198	-	26044597	26052016	-
10451-11	SL008914	Q02818	NUCB1	Nucleobindin-1	4924	NUCB1	Q02818	NUCB1	4924	NUCB1	HGNC:8043	NUCB1	ENSG00000104805	NUCB1	protein_coding	19	49403307	49426540	+	48900050	48923473	+
10453-7	SL018233	Q6UY09	CEA20	Carcinoembryonic antigen-related cell adhesion molecule 20	125931	CEACAM20	Q6UY09	CEACAM20	125931	CEACAM20	HGNC:24879	CEACAM20	ENSG00000273777	CEACAM20	protein_coding	19	45010211	45033548	-	44501677	44529788	-
10454-99	SL018290	Q9Y2G8	DJC16	DnaJ homolog subfamily C member 16	23341	DNAJC16	Q9Y2G8	DNAJC16	23341	DNAJC16	HGNC:29157	DNAJC16	ENSG00000116138	DNAJC16	protein_coding	1	15853352	15918874	+	15526813	15592379	+
10455-196	SL004678	Q6EBC2	IL-31	Interleukin-31	386653	IL31	Q6EBC2	IL31	386653	IL31	HGNC:19372	IL31	ENSG00000204671	IL31	protein_coding	12	122656577	122658746	-	122172029	122174221	-
10457-3	SL004861	O95256	IL-18 Rb	Interleukin-18 receptor accessory protein	8807	IL18RAP	O95256	IL18RAP	8807	IL18RAP	HGNC:5989	IL18RAP	ENSG00000115607	IL18RAP	protein_coding	2	103035254	103069024	+	102418689	102452565	+
10460-1	SL006029	Q13231	Chitotriosidase-1	Chitotriosidase-1	1118	CHIT1	Q13231	CHIT1	1118	CHIT1	HGNC:1936	CHIT1	ENSG00000133063	CHIT1	protein_coding	1	203181959	203241937	-	203212827	203272809	-
10462-14	SL012880	Q9Y5Q6	INSL5	Insulin-like peptide INSL5	10022	INSL5	Q9Y5Q6	INSL5	10022	INSL5	HGNC:6088	INSL5	ENSG00000172410	INSL5	protein_coding	1	67263424	67266942	-	66797740	66801276	-
10463-23	SL002514	P09923	Alkaline phosphatase, intestine	Intestinal-type alkaline phosphatase	248	ALPI	P09923	ALPI	248	ALPI	HGNC:437	ALPI	ENSG00000163295	ALPI	protein_coding	2	233320833	233324742	+	232456125	232460753	+
10464-6	SL008696	Q9H6X2	ANTR1	Anthrax toxin receptor 1	84168	ANTXR1	Q9H6X2	ANTXR1	84168	ANTXR1	HGNC:21014	ANTXR1	ENSG00000169604	ANTXR1	protein_coding	2	69240276	69476459	+	69013176	69249327	+
10470-34	SL026024	Q6PKC3	TXD11:N-term	Thioredoxin domain-containing protein 11:C-term	51061	TXNDC11	Q6PKC3	TXNDC11	51061	TXNDC11	HGNC:28030	TXNDC11	ENSG00000153066	TXNDC11	protein_coding	16	11772943	11836648	-	11679083	11742857	-
10472-53	SL004145	Q92956	HVEM	Tumor necrosis factor receptor superfamily member 14	8764	TNFRSF14	Q92956	TNFRSF14	8764	TNFRSF14	HGNC:11912	TNFRSF14	ENSG00000157873	TNFRSF14	protein_coding	1	2487805	2495267	+	2555639	2565382	+
10473-2	SL002602	Q03403	Trefoil factor 2	Trefoil factor 2	7032	TFF2	Q03403	TFF2	7032	TFF2	HGNC:11756	TFF2	ENSG00000160181	TFF2	protein_coding	21	43766467	43771208	-	42346357	42350997	-
10479-18	SL000645	P09238	MMP-10	Stromelysin-2	4319	MMP10	P09238	MMP10	4319	MMP10	HGNC:7156	MMP10	ENSG00000166670	MMP10	protein_coding	11	102641233	102651359	-	102770502	102780628	-
10480-33	SL004557	P13987	CD59	CD59 glycoprotein	966	CD59	P13987	CD59	966	CD59	HGNC:1689	CD59	ENSG00000085063	CD59	protein_coding	11	33724556	33758025	-	33698261	33736479	-
10485-56	SL005064	P43358	MAGE-4	Melanoma-associated antigen 4	4103	MAGEA4	P43358	MAGEA4	4103	MAGEA4	HGNC:6802	MAGEA4	ENSG00000147381	MAGEA4	protein_coding	X	151080996	151093642	+	151912495	151925171	+
10490-3	SL025976	P04843	RPN1:CD	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	6184	RPN1	P04843	RPN1	6184	RPN1	HGNC:10381	RPN1	ENSG00000163902	RPN1	protein_coding	3	128338813	128399918	-	128619969	128681075	-
10496-11	SL009322	A8K7I4	CaCC	Calcium-activated chloride channel regulator 1	1179	CLCA1	A8K7I4	CLCA1	1179	CLCA1	HGNC:2015	CLCA1	ENSG00000016490	CLCA1	protein_coding	1	86934395	86965974	+	86468368	86500259	+
10499-1	SL008733	Q96A25	T106A	Transmembrane protein 106A	113277	TMEM106A	Q96A25	TMEM106A	113277	TMEM106A	HGNC:28288	TMEM106A	ENSG00000184988	TMEM106A	protein_coding	17	41363894	41371589	+	43211835	43220041	+
10505-12	SL018629	Q68DV7	RNF43	E3 ubiquitin-protein ligase RNF43	54894	RNF43	Q68DV7	RNF43	54894	RNF43	HGNC:18505	RNF43	ENSG00000108375	RNF43	protein_coding	17	56431038	56494931	-	58345206	58417595	-
