UniProt ID;Gene;Protein name
O95466;FMNL1;Formin-like protein 1
P29475;NOS1;Nitric oxide synthase, brain
O94813;SLIT2;Slit homolog 2 protein
P39905;GDNF;Glial cell line-derived neurotrophic factor
Q9UK53;ING1;Inhibitor of growth protein 1
P13647;KRT5;Keratin, type II cytoskeletal 5
Q9Y2V2;CARHSP1;Calcium-regulated heat-stable protein 1
Q9NS71;GKN1;Gastrokine-1
P29466;CASP1;Caspase-1
Q9UJ72;ANXA10;Annexin A10
Q9H2W6;MRPL46;39S ribosomal protein L46, mitochondrial
Q9Y5P4;CERT1;Ceramide transfer protein
Q15043;SLC39A14;Zinc transporter ZIP14
P07196;NEFL;Neurofilament light polypeptide
Q16762;TST;Thiosulfate sulfurtransferase
Q07812;BAX;Apoptosis regulator BAX
P61244;MAX;Protein max
Q16864;ATP6V1F;V-type proton ATPase subunit F
Q96FQ6;S100A16;Protein S100-A16
P09211;GSTP1;Glutathione S-transferase P
Q9Y2W6;TDRKH;Tudor and KH domain-containing protein
O00399;DCTN6;Dynactin subunit 6
Q9HA65;TBC1D17;TBC1 domain family member 17
Q9BW30;TPPP3;Tubulin polymerization-promoting protein family member 3
P23276;KEL;Kell blood group glycoprotein
Q13308;PTK7;Inactive tyrosine-protein kinase 7
Q02643;GHRHR;Growth hormone-releasing hormone receptor
Q6UXK2;ISLR2;Immunoglobulin superfamily containing leucine-rich repeat protein 2
O94985;CLSTN1;Calsyntenin-1
Q6UWL6;KIRREL2;Kin of IRRE-like protein 2
Q9UPY6;WASF3;Wiskott-Aldrich syndrome protein family member 3
P49789;FHIT;Bis(5'-adenosyl)-triphosphatase
Q96PP9;GBP4;Guanylate-binding protein 4
Q9Y680;FKBP7;Peptidyl-prolyl cis-trans isomerase FKBP7
P05231;IL6;Interleukin-6
Q92917;GPKOW;G-patch domain and KOW motifs-containing protein
Q16740;CLPP;ATP-dependent Clp protease proteolytic subunit, mitochondrial
P52798;EFNA4;Ephrin-A4
P36269;GGT5;Glutathione hydrolase 5 proenzyme
P18031;PTPN1;Tyrosine-protein phosphatase non-receptor type 1
P29218;IMPA1;Inositol monophosphatase 1
Q2TAL6;VWC2;Brorin
Q86WV1;SKAP1;Src kinase-associated phosphoprotein 1
O14944;EREG;Proepiregulin
Q9Y6D9;MAD1L1;Mitotic spindle assembly checkpoint protein MAD1
Q13451;FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5
P14868;DARS1;Aspartate--tRNA ligase, cytoplasmic
P63098;PPP3R1;Calcineurin subunit B type 1
P52943;CRIP2;Cysteine-rich protein 2
O95256;IL18RAP;Interleukin-18 receptor accessory protein
Q9Y4K4;MAP4K5;Mitogen-activated protein kinase kinase kinase kinase 5
P16444;DPEP1;Dipeptidase 1
Q92932;PTPRN2;Receptor-type tyrosine-protein phosphatase N2
Q9HAN9;NMNAT1;Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
O95727;CRTAM;Cytotoxic and regulatory T-cell molecule
Q9UBT3;DKK4;Dickkopf-related protein 4
Q8IUN9;CLEC10A;C-type lectin domain family 10 member A
P07741;APRT;Adenine phosphoribosyltransferase
O00308;WWP2;NEDD4-like E3 ubiquitin-protein ligase WWP2
Q02083;NAAA;N-acylethanolamine-hydrolyzing acid amidase
P09466;PAEP;Glycodelin
Q08629;SPOCK1;Testican-1
P78560;CRADD;Death domain-containing protein CRADD
O95994;AGR2;Anterior gradient protein 2 homolog
Q8TCT1;PHOSPHO1;Phosphoethanolamine/phosphocholine phosphatase
Q96IU4;ABHD14B;Protein ABHD14B
P01138;NGF;Beta-nerve growth factor
Q9BZM5;ULBP2;UL16-binding protein 2
O60609;GFRA3;GDNF family receptor alpha-3
O00559;EBAG9;Receptor-binding cancer antigen expressed on SiSo cells
Q8NBI3;DRAXIN;Draxin
P11464;PSG1;Pregnancy-specific beta-1-glycoprotein 1
P15509;CSF2RA;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
P50453;SERPINB9;Serpin B9
Q2MKA7;RSPO1;R-spondin-1
Q9HD42;CHMP1A;Charged multivesicular body protein 1a
Q96B36;AKT1S1;Proline-rich AKT1 substrate 1
P42892;ECE1;Endothelin-converting enzyme 1
Q9NQ88;TIGAR;Fructose-2,6-bisphosphatase TIGAR
Q9UHV9;PFDN2;Prefoldin subunit 2
Q96NZ8;WFIKKN1;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1
Q92851;CASP10;Caspase-10
Q9H5V8;CDCP1;CUB domain-containing protein 1
Q9Y6Y9;LY96;Lymphocyte antigen 96
P50135;HNMT;Histamine N-methyltransferase
O60242;ADGRB3;Adhesion G protein-coupled receptor B3
O14618;CCS;Copper chaperone for superoxide dismutase
O95817;BAG3;BAG family molecular chaperone regulator 3
O43155;FLRT2;Leucine-rich repeat transmembrane protein FLRT2
O95630;STAMBP;STAM-binding protein
Q6UX15;LAYN;Layilin
Q9H3S3;TMPRSS5;Transmembrane protease serine 5
Q06323;PSME1;Proteasome activator complex subunit 1
Q53H47;SETMAR;Histone-lysine N-methyltransferase SETMAR
Q92765;FRZB;Secreted frizzled-related protein 3
P16278;GLB1;Beta-galactosidase
O00220;TNFRSF10A;Tumor necrosis factor receptor superfamily member 10A
P78423;CX3CL1;Fractalkine
P08134;RHOC;Rho-related GTP-binding protein RhoC
Q6ISS4;LAIR2;Leukocyte-associated immunoglobulin-like receptor 2
O95407;TNFRSF6B;Tumor necrosis factor receptor superfamily member 6B
Q8NFP4;MDGA1;MAM domain-containing glycosylphosphatidylinositol anchor protein 1
P22079;LPO;Lactoperoxidase
Q06830;PRDX1;Peroxiredoxin-1
P06748;NPM1;Nucleophosmin
P40222;TXLNA;Alpha-taxilin
Q02790;FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4
Q8WV92;MITD1;MIT domain-containing protein 1
O43557;TNFSF14;Tumor necrosis factor ligand superfamily member 14
Q6P1N0;CC2D1A;Coiled-coil and C2 domain-containing protein 1A
Q92752;TNR;Tenascin-R
Q6XZF7;DNMBP;Dynamin-binding protein
P48740;MASP1;Mannan-binding lectin serine protease 1
Q9NZQ7;CD274;Programmed cell death 1 ligand 1
P78333;GPC5;Glypican-5
O76070;SNCG;Gamma-synuclein
P38484;IFNGR2;Interferon gamma receptor 2
Q8WWN9;IPCEF1;Interactor protein for cytohesin exchange factors 1
Q15814;TBCC;Tubulin-specific chaperone C
Q07011;TNFRSF9;Tumor necrosis factor receptor superfamily member 9
P01258;CALCA;Calcitonin
O15197;EPHB6;Ephrin type-B receptor 6
Q9H477;RBKS;Ribokinase
Q14108;SCARB2;Lysosome membrane protein 2
P56279;TCL1A;T-cell leukemia/lymphoma protein 1A
P08962;CD63;CD63 antigen
Q8N474;SFRP1;Secreted frizzled-related protein 1
Q9NPH6;OBP2B;Odorant-binding protein 2b
Q9UL46;PSME2;Proteasome activator complex subunit 2
O15232;MATN3;Matrilin-3
P02771;AFP;Alpha-fetoprotein
O14763;TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B
P10145;CXCL8;Interleukin-8
P07306;ASGR1;Asialoglycoprotein receptor 1
P28906;CD34;Hematopoietic progenitor cell antigen CD34
P13611;VCAN;Versican core protein
Q9BS40;LXN;Latexin
O15496;PLA2G10;Group 10 secretory phospholipase A2
P17405;SMPD1;Sphingomyelin phosphodiesterase
Q10589;BST2;Bone marrow stromal antigen 2
Q9P0K1;ADAM22;Disintegrin and metalloproteinase domain-containing protein 22
P13500;CCL2;C-C motif chemokine 2
Q99731;CCL19;C-C motif chemokine 19
P37023;ACVRL1;Serine/threonine-protein kinase receptor R3
P50225;SULT1A1;Sulfotransferase 1A1
Q96GW7;BCAN;Brevican core protein
Q8NBJ7;SUMF2;Inactive C-alpha-formylglycine-generating enzyme 2
P01236;PRL;Prolactin
Q14739;LBR;Delta(14)-sterol reductase LBR
Q9NR71;ASAH2;Neutral ceramidase
P23588;EIF4B;Eukaryotic translation initiation factor 4B
P28325;CST5;Cystatin-D
O43927;CXCL13;C-X-C motif chemokine 13
P35237;SERPINB6;Serpin B6
Q8NBS9;TXNDC5;Thioredoxin domain-containing protein 5
P52823;STC1;Stanniocalcin-1
Q9H446;RWDD1;RWD domain-containing protein 1
P15151;PVR;Poliovirus receptor
Q9NP79;VTA1;Vacuolar protein sorting-associated protein VTA1 homolog
Q08708;CD300C;CMRF35-like molecule 6
P15311;EZR;Ezrin
P55291;CDH15;Cadherin-15
P01732;CD8A;T-cell surface glycoprotein CD8 alpha chain
Q92854;SEMA4D;Semaphorin-4D
Q08345;DDR1;Epithelial discoidin domain-containing receptor 1
P22223;CDH3;Cadherin-3
O14737;PDCD5;Programmed cell death protein 5
Q9HCK4;ROBO2;Roundabout homolog 2
Q9UNZ2;NSFL1C;NSFL1 cofactor p47
O94779;CNTN5;Contactin-5
P22894;MMP8;Neutrophil collagenase
P13473;LAMP2;Lysosome-associated membrane glycoprotein 2
Q96CD2;PPCDC;Phosphopantothenoylcysteine decarboxylase
P21217_Q11128;FUT3_FUT5;3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3 and 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
Q99426;TBCB;Tubulin-folding cofactor B
P05060;CHGB;Secretogranin-1
Q9BYC5;FUT8;Alpha-(1,6)-fucosyltransferase
P06733;ENO1;Alpha-enolase
P78325;ADAM8;Disintegrin and metalloproteinase domain-containing protein 8
P12644;BMP4;Bone morphogenetic protein 4
P12429;ANXA3;Annexin A3
P04233;CD74;HLA class II histocompatibility antigen gamma chain
Q9BRF8;CPPED1;Serine/threonine-protein phosphatase CPPED1
P19440;GGT1;Glutathione hydrolase 1 proenzyme
O75509;TNFRSF21;Tumor necrosis factor receptor superfamily member 21
P50895;BCAM;Basal cell adhesion molecule
Q10588;BST1;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
P31948;STIP1;Stress-induced-phosphoprotein 1
P04216;THY1;Thy-1 membrane glycoprotein
Q15818;NPTX1;Neuronal pentraxin-1
Q9NZD4;AHSP;Alpha-hemoglobin-stabilizing protein
Q02487;DSC2;Desmocollin-2
Q96GP6;SCARF2;Scavenger receptor class F member 2
Q04900;CD164;Sialomucin core protein 24
P01178;OXT;Oxytocin-neurophysin 1
O60462;NRP2;Neuropilin-2
O15389;SIGLEC5;Sialic acid-binding Ig-like lectin 5
P09104;ENO2;Gamma-enolase
P28908;TNFRSF8;Tumor necrosis factor receptor superfamily member 8
P08254;MMP3;Stromelysin-1
P14384;CPM;Carboxypeptidase M
O14594;NCAN;Neurocan core protein
O94907;DKK1;Dickkopf-related protein 1
O76076;CCN5;CCN family member 5
Q96B86;RGMA;Repulsive guidance molecule A
P01215;CGA;Glycoprotein hormones alpha chain
P57087;JAM2;Junctional adhesion molecule B
P21757;MSR1;Macrophage scavenger receptor types I and II
P05067;APP;Amyloid-beta precursor protein
P14174;MIF;Macrophage migration inhibitory factor
P14207;FOLR2;Folate receptor beta
P48052;CPA2;Carboxypeptidase A2
P30533;LRPAP1;Alpha-2-macroglobulin receptor-associated protein
P11215;ITGAM;Integrin alpha-M
Q6ZMJ2;SCARA5;Scavenger receptor class A member 5
Q16288;NTRK3;NT-3 growth factor receptor
P02749;APOH;Beta-2-glycoprotein 1
P25774;CTSS;Cathepsin S
Q9P126;CLEC1B;C-type lectin domain family 1 member B
Q6NW40;RGMB;RGM domain family member B
Q9UBW5;BIN2;Bridging integrator 2
P12081;HARS1;Histidine--tRNA ligase, cytoplasmic
P30740;SERPINB1;Leukocyte elastase inhibitor
P23381;WARS1;Tryptophan--tRNA ligase, cytoplasmic
Q01469;FABP5;Fatty acid-binding protein 5
O00214;LGALS8;Galectin-8
Q6P4E1;GOLM2;Protein GOLM2
Q14112;NID2;Nidogen-2
P30086;PEBP1;Phosphatidylethanolamine-binding protein 1
O14625;CXCL11;C-X-C motif chemokine 11
Q96F46;IL17RA;Interleukin-17 receptor A
Q86T13;CLEC14A;C-type lectin domain family 14 member A
Q96RD9;FCRL5;Fc receptor-like protein 5
P14778;IL1R1;Interleukin-1 receptor type 1
Q9NPH3;IL1RAP;Interleukin-1 receptor accessory protein
P23280;CA6;Carbonic anhydrase 6
Q6UXG3;CD300LG;CMRF35-like molecule 9
Q9UKK9;NUDT5;ADP-sugar pyrophosphatase
P04179;SOD2;Superoxide dismutase [Mn], mitochondrial
O43505;B4GAT1;Beta-1,4-glucuronyltransferase 1
P16871;IL7R;Interleukin-7 receptor subunit alpha
Q02747;GUCA2A;Guanylin
P00995;SPINK1;Serine protease inhibitor Kazal-type 1
O15394;NCAM2;Neural cell adhesion molecule 2
Q6YHK3;CD109;CD109 antigen
Q14126;DSG2;Desmoglein-2
Q08431;MFGE8;Lactadherin
Q9UKJ1;PILRA;Paired immunoglobulin-like type 2 receptor alpha
Q9Y240;CLEC11A;C-type lectin domain family 11 member A
Q9UGT4;SUSD2;Sushi domain-containing protein 2
P00352;ALDH1A1;Retinal dehydrogenase 1
Q16881;TXNRD1;Thioredoxin reductase 1, cytoplasmic
P05164;MPO;Myeloperoxidase
Q14696;MESD;LRP chaperone MESD
O43278;SPINT1;Kunitz-type protease inhibitor 1
P14209;CD99;CD99 antigen
P35442;THBS2;Thrombospondin-2
P01833;PIGR;Polymeric immunoglobulin receptor
Q8TDQ0;HAVCR2;Hepatitis A virus cellular receptor 2
Q8IWV2;CNTN4;Contactin-4
Q99972;MYOC;Myocilin
Q8TCZ2;CD99L2;CD99 antigen-like protein 2
Q9HCN6;GP6;Platelet glycoprotein VI
P22749;GNLY;Granulysin
Q13093;PLA2G7;Platelet-activating factor acetylhydrolase
Q5T2D2;TREML2;Trem-like transcript 2 protein
P20774;OGN;Mimecan
P08648;ITGA5;Integrin alpha-5
Q9P232;CNTN3;Contactin-3
P14780;MMP9;Matrix metalloproteinase-9
P22105;TNXB;Tenascin-X
Q15155;NOMO1;Nodal modulator 1
Q8N6Q3;CD177;CD177 antigen
P06734;FCER2;Low affinity immunoglobulin epsilon Fc receptor
P15289;ARSA;Arylsulfatase A
P55103;INHBC;Inhibin beta C chain
P00749;PLAU;Urokinase-type plasminogen activator
P63313;TMSB10;Thymosin beta-10
P16284;PECAM1;Platelet endothelial cell adhesion molecule
P20827;EFNA1;Ephrin-A1
Q96FE7;PIK3IP1;Phosphoinositide-3-kinase-interacting protein 1
O15117;FYB1;FYN-binding protein 1
P22692;IGFBP4;Insulin-like growth factor-binding protein 4
O76061;STC2;Stanniocalcin-2
P04118;CLPS;Colipase
Q6UXH9;PAMR1;Inactive serine protease PAMR1
Q969Z4;RELT;Tumor necrosis factor receptor superfamily member 19L
Q9Y279;VSIG4;V-set and immunoglobulin domain-containing protein 4
P04155;TFF1;Trefoil factor 1
P11717;IGF2R;Cation-independent mannose-6-phosphate receptor
Q99727;TIMP4;Metalloproteinase inhibitor 4
Q8N149;LILRA2;Leukocyte immunoglobulin-like receptor subfamily A member 2
P07108;DBI;Acyl-CoA-binding protein
P28799;GRN;Progranulin
Q9Y624;F11R;Junctional adhesion molecule A
P30043;BLVRB;Flavin reductase (NADPH)
P00918;CA2;Carbonic anhydrase 2
Q9NQ38;SPINK5;Serine protease inhibitor Kazal-type 5
Q99497;PARK7;Parkinson disease protein 7
P19438;TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A
P20333;TNFRSF1B;Tumor necrosis factor receptor superfamily member 1B
P17538;CTRB1;Chymotrypsinogen B
