UNIPROT	Target	TargetFullName	uniprot_gn_id	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	ensembl_gene_id	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38
A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8	A3KMH1	VWA8	23078	VWA8	HGNC:29071	VWA8	ENSG00000102763	VWA8	protein_coding	13	42140961	42535221	-	41566835	41961120	-
A4D161	FAM221A	Protein FAM221A	A4D161	FAM221A	340277	FAM221A	HGNC:27977	FAM221A	ENSG00000188732	FAM221A	protein_coding	7	23719749	23742269	+	23680130	23703249	+
A4D1B5	GSAP	Gamma-secretase-activating protein	A4D1B5	GSAP	54103	GSAP	HGNC:28042	GSAP	ENSG00000186088	GSAP	protein_coding	7	76940068	77045717	-	77310751	77416349	-
A4D1P6	WDR91	WD repeat-containing protein 91	A4D1P6	WDR91	29062	WDR91	HGNC:24997	WDR91	ENSG00000105875	WDR91	protein_coding	7	134868590	134896316	-	135183839	135211555	-
A4D1S5	RAB19	Ras-related protein Rab-19	A4D1S5	RAB19	401409	RAB19	HGNC:19982	RAB19	ENSG00000146955	RAB19	protein_coding	7	140103843	140126050	+	140404058	140427974	+
A4D2B0	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	A4D2B0	MBLAC1	255374	MBLAC1	HGNC:22180	MBLAC1	ENSG00000214309	MBLAC1	protein_coding	7	99724320	99726121	+	100126785	100128495	+
A4FU49	SH3D21	SH3 domain-containing protein 21	A4FU49	SH3D21	79729	SH3D21	HGNC:26236	SH3D21	ENSG00000214193	SH3D21	protein_coding	1	36771994	36790484	+	36306368	36329340	+
A4UGR9	XIRP2	Xin actin-binding repeat-containing protein 2	A4UGR9	XIRP2	129446	XIRP2	HGNC:14303	XIRP2	ENSG00000163092	XIRP2	protein_coding	2	167744997	168116261	+	166888480	167259753	+
A5D8W1	CFAP69	Cilia- and flagella-associated protein 69	A5D8W1	CFAP69	79846	CFAP69	HGNC:26107	CFAP69	ENSG00000105792	CFAP69	protein_coding	7	89874488	89940377	+	90245174	90322592	+
A5LHX3	PSMB11	Proteasome subunit beta type-11	A5LHX3	PSMB11	122706	PSMB11	HGNC:31963	PSMB11	ENSG00000222028	PSMB11	protein_coding	14	23511376	23513269	+	23042212	23044060	+
A5PL33	KRBA1	Protein KRBA1	A5PL33	KRBA1	84626	KRBA1	HGNC:22228	KRBA1	ENSG00000133619	KRBA1	protein_coding	7	149412102	149431664	+	149714781	149734575	+
A5PLL1	ANKRD34B	Ankyrin repeat domain-containing protein 34B	A5PLL1	ANKRD34B	340120	ANKRD34B	HGNC:33736	ANKRD34B	ENSG00000189127	ANKRD34B	protein_coding	5	79852574	79866304	-	80556755	80570280	-
A6BM72	MEGF11	Multiple epidermal growth factor-like domains protein 11	A6BM72	MEGF11	84465	MEGF11	HGNC:29635	MEGF11	ENSG00000157890	MEGF11	protein_coding	15	66187634	66546075	-	65895079	66253756	-
A6H8M9	CDHR4	Cadherin-related family member 4	A6H8M9	CDHR4	389118	CDHR4	HGNC:34527	CDHR4	ENSG00000187492	CDHR4	protein_coding	3	49828167	49837254	-	49790732	49799873	-
A6NC86	PINLYP	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein	A6NC86	PINLYP	390940	PINLYP	HGNC:44206	PINLYP	ENSG00000234465	PINLYP	protein_coding	19	44080952	44088114	+	43575801	43583964	+
A6NC98	CCDC88B	Coiled-coil domain-containing protein 88B	A6NC98	CCDC88B	283234	CCDC88B	HGNC:26757	CCDC88B	ENSG00000168071	CCDC88B	protein_coding	11	64107690	64125006	+	64340204	64357534	+
A6NCE7	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	A6NCE7	MAP1LC3B2	643246	MAP1LC3B2	HGNC:34390	MAP1LC3B2	ENSG00000258102	MAP1LC3B2	protein_coding	12	116997186	117014425	+	116550742	116576606	+
A6NCF6	MAGEA13P	Putative MAGE domain-containing protein MAGEA13P	NA	NA	NA	NA	NA	NA	ENSG00000183981	NA	NA	X	NA	NA	NA	NA	NA	NA
A6NCM1	IQCA1L	IQ and AAA domain-containing protein 1-like	A6NCM1	IQCA1L	392843	IQCA1L	HGNC:22831	IQCA1L	ENSG00000278685	IQCA1L	protein_coding	7	NA	NA	NA	151190873	151205496	-
A6NDA9	LRIT2	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2	A6NDA9	LRIT2	340745	LRIT2	HGNC:23443	LRIT2	ENSG00000204033	LRIT2	protein_coding	10	85980249	85985284	-	84220571	84225544	-
A6NDB9	PALM3	Paralemmin-3	A6NDB9	PALM3	342979	PALM3	HGNC:33274	PALM3	ENSG00000187867	PALM3	protein_coding	19	14164179	14169971	-	14053363	14062076	-
A6NDU8	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	A6NDU8	RIMOC1	285636	RIMOC1	HGNC:27750	RIMOC1	ENSG00000205765	RIMOC1	protein_coding	5	41904470	41921738	+	41904188	41921636	+
A6NDY2	FAM90A10	Putative protein FAM90A10	A6NDY2	FAM90A10	441328	FAM90A10	HGNC:32258	FAM90A10	ENSG00000285950	FAM90A10	protein_coding	8	7627106	7628835	+	7768977	7771988	+
A6NE01	FAM186A	Protein FAM186A	A6NE01	FAM186A	121006	FAM186A	HGNC:26980	FAM186A	ENSG00000185958	FAM186A	protein_coding	12	50720013	50790405	-	50326230	50396622	-
A6NEE1	PLEKHD1	Pleckstrin homology domain-containing family D member 1	A6NEE1	PLEKHD1	400224	PLEKHD1	HGNC:20148	PLEKHD1	ENSG00000175985	PLEKHD1	protein_coding	14	69951471	69995215	+	69484692	69531551	+
A6NEF3	GOLGA6L4	Putative golgin subfamily A member 6-like protein 3	NA	GOLGA6L4	643707	GOLGA6L4	HGNC:27256	GOLGA6L4	ENSG00000184206	GOLGA6L4	protein_coding	15	84904525	84914120	+	84235773	84245358	+
A6NEL2	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB	A6NEL2	SOWAHB	345079	SOWAHB	HGNC:32958	SOWAHB	ENSG00000186212	SOWAHB	protein_coding	4	77816082	77819002	-	76894152	76898144	-
A6NEM1	GOLGA6L4	Putative golgin subfamily A member 6-like protein 3	NA	GOLGA6L9	440295	GOLGA6L9	HGNC:37229	GOLGA6L9	ENSG00000197978	GOLGA6L9	protein_coding	15	82711895	83108111	+	82414787	82439153	+
A6NES4	MROH2A	Maestro heat-like repeat-containing protein family member 2A	A6NES4	MROH2A	339766	MROH2A	HGNC:27936	MROH2A	ENSG00000185038	MROH2A	protein_coding	2	NA	NA	NA	233775679	233833423	+
A6NEV1	PRR23A	Proline-rich protein 23A	A6NEV1	PRR23A	729627	PRR23A	HGNC:37172	PRR23A	ENSG00000206260	PRR23A	protein_coding	3	138722804	138725110	-	139003962	139006268	-
A6NEY8	PRORSD1P	Putative prolyl-tRNA synthetase associated domain-containing protein 1	NA	NA	NA	NA	NA	NA	ENSG00000162997	NA	NA	2	NA	NA	NA	NA	NA	NA
A6NFE2	SMCO2	Single-pass membrane and coiled-coil domain-containing protein 2	A6NFE2	SMCO2	341346	SMCO2	HGNC:34448	SMCO2	ENSG00000165935	SMCO2	protein_coding	12	27619743	27655118	+	27446736	27502185	+
A6NFE3	EFCAB10	EF-hand calcium-binding domain-containing protein 10	A6NFE3	EFCAB10	100130771	EFCAB10	HGNC:34531	EFCAB10	ENSG00000185055	EFCAB10	protein_coding	7	105205580	105221976	-	105565120	105600875	-
A6NFN3	RBFOX3	RNA binding protein fox-1 homolog 3	A6NFN3	RBFOX3	146713	RBFOX3	HGNC:27097	RBFOX3	ENSG00000167281	RBFOX3	protein_coding	17	77085427	77512230	-	79089345	79611051	-
A6NFN9	ANKUB1	Protein ANKUB1	A6NFN9	ANKUB1	389161	ANKUB1	HGNC:29642	ANKUB1	ENSG00000206199	ANKUB1	protein_coding	3	149478890	149510610	-	149761100	149968385	-
A6NGE7	URAD	Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	A6NGE7	URAD	646625	URAD	HGNC:17785	URAD	ENSG00000183463	URAD	protein_coding	13	28552243	28562774	-	27977717	27988693	-
A6NGG8	PCARE	Photoreceptor cilium actin regulator	A6NGG8	PCARE	388939	PCARE	HGNC:34383	PCARE	ENSG00000179270	PCARE	protein_coding	2	29284556	29297127	-	29061695	29074523	-
A6NGN9	IGLON5	IgLON family member 5	A6NGN9	IGLON5	402665	IGLON5	HGNC:34550	IGLON5	ENSG00000142549	IGLON5	protein_coding	19	51815102	51834102	+	51311644	51330891	+
A6NGS2	ERICH4	Glutamate-rich protein 4	A6NGS2	ERICH4	100170765	ERICH4	HGNC:34497	ERICH4	ENSG00000204978	ERICH4	protein_coding	19	41949063	41950670	+	41443156	41444765	+
A6NHC0	CAPN8	Calpain-8	A6NHC0	CAPN8	388743	CAPN8	HGNC:1485	CAPN8	ENSG00000203697	CAPN8	protein_coding	1	223714972	223853436	-	223538007	223665723	-
A6NHS7	MANSC4	MANSC domain-containing protein 4	A6NHS7	MANSC4	100287284	MANSC4	HGNC:40023	MANSC4	ENSG00000205693	MANSC4	protein_coding	12	27915599	27924209	-	27762427	27780236	-
A6NI28	ARHGAP42	Rho GTPase-activating protein 42	A6NI28	ARHGAP42	143872	ARHGAP42	HGNC:26545	ARHGAP42	ENSG00000165895	ARHGAP42	protein_coding	11	100558407	100861656	+	100687288	100993941	+
A6NI47	POTEM	Putative POTE ankyrin domain family member M	A6NI47	POTEM	641455	POTEM	HGNC:37096	POTEM	ENSG00000222036	POTEM	protein_coding	14	19983954	20020272	-	18967434	19003752	+
A6NI73	LILRA5	Leukocyte immunoglobulin-like receptor subfamily A member 5	A6NI73	LILRA5	353514	LILRA5	HGNC:16309	LILRA5	ENSG00000187116	LILRA5	protein_coding	19	54818353	54824409	-	54307070	54313166	-
A6NI79	CCDC69	Coiled-coil domain-containing protein 69	A6NI79	CCDC69	26112	CCDC69	HGNC:24487	CCDC69	ENSG00000198624	CCDC69	protein_coding	5	150560613	150603654	-	151181052	151224093	-
A6NI86	GOLGA6L4	Putative golgin subfamily A member 6-like protein 3	NA	GOLGA6L10	643707	GOLGA6L4	HGNC:37228	GOLGA6L10	ENSG00000278662	GOLGA6L10	protein_coding	15	84904525	84914120	+	84235773	84245358	+
A6NIN4	RNF227	RING finger protein 227	A6NIN4	RNF227	284023	RNF227	HGNC:27571	RNF227	ENSG00000179859	RNF227	protein_coding	17	7816640	7819265	-	7913339	7916289	-
A6NJZ7	RIMBP3C	RIMS-binding protein 3A/C	NA	RIMBP3C	150221	RIMBP3C	HGNC:33892	RIMBP3C	ENSG00000183246	RIMBP3C	protein_coding	22	21737663	21743455	+	21545666	21551461	-
A6NK59	ASB14	Ankyrin repeat and SOCS box protein 14	NA	NA	NA	NA	NA	NA	ENSG00000239388	NA	NA	3	NA	NA	NA	NA	NA	NA
A6NK89	RASSF10	Ras association domain-containing protein 10	A6NK89	RASSF10	644943	RASSF10	HGNC:33984	RASSF10	ENSG00000189431	RASSF10	protein_coding	11	13030970	13033653	+	13009316	13012119	+
A6NKC9	SH2D7	SH2 domain-containing protein 7	A6NKC9	SH2D7	646892	SH2D7	HGNC:34549	SH2D7	ENSG00000183476	SH2D7	protein_coding	15	78384927	78396393	+	78077808	78104370	+
A6NLC5	C3orf70	UPF0524 protein C3orf70	A6NLC5	C3orf70	285382	C3orf70	HGNC:33731	C3orf70	ENSG00000187068	C3orf70	protein_coding	3	184795838	184870802	-	185076838	185153060	-
A6NLU5	VSTM2B	V-set and transmembrane domain-containing protein 2B	A6NLU5	VSTM2B	342865	VSTM2B	HGNC:33595	VSTM2B	ENSG00000187135	VSTM2B	protein_coding	19	30017491	30055226	+	29525994	29564551	+
A6NM11	LRRC37A2	Leucine-rich repeat-containing protein 37A2	NA	LRRC37A2	9884	LRRC37A	HGNC:32404	LRRC37A2	ENSG00000238083	LRRC37A2	protein_coding	17	44372497	44415160	+	46292733	46338077	+
A6NMA1	TRPC5OS	Putative uncharacterized protein TRPC5OS	A6NMA1	TRPC5OS	100329135	TRPC5OS	HGNC:40593	TRPC5OS	ENSG00000204025	TRPC5OS	protein_coding	X	111119279	111147213	+	111876051	111903990	+
A6NMK8	INSYN2B	Protein INSYN2B	A6NMK8	INSYN2B	100131897	INSYN2B	HGNC:37271	INSYN2B	ENSG00000204767	INSYN2B	protein_coding	5	169290719	169407744	-	169861303	169980495	-
A6NMN3	FAM170B	Protein FAM170B	A6NMN3	FAM170B	170370	FAM170B	HGNC:19736	FAM170B	ENSG00000172538	FAM170B	protein_coding	10	50339201	50342065	-	49131154	49134021	-
A6NMZ2	SNTN	Sentan	A6NMZ2	SNTN	132203	SNTN	HGNC:33706	SNTN	ENSG00000188817	SNTN	protein_coding	3	63638344	63650891	+	63652675	63679020	+
A6NMZ7	COL6A6	Collagen alpha-6(VI) chain	A6NMZ7	COL6A6	131873	COL6A6	HGNC:27023	COL6A6	ENSG00000206384	COL6A6	protein_coding	3	130279178	130395888	+	130517177	130677044	+
A6NN73	GOLGA8CP	Golgin subfamily A member 8C	NA	NA	NA	NA	NA	NA	ENSG00000181984	NA	NA	15	NA	NA	NA	NA	NA	NA
A6NN90	C2orf81	Uncharacterized protein C2orf81	A6NN90	C2orf81	388963	C2orf81	HGNC:34350	C2orf81	ENSG00000284308	C2orf81	protein_coding	2	74641303	74644844	-	74393836	74421662	-
A6NNA5	DRGX	Dorsal root ganglia homeobox protein	A6NNA5	DRGX	644168	DRGX	HGNC:21536	DRGX	ENSG00000165606	DRGX	protein_coding	10	50574161	50604062	-	49364066	49396089	-
A6NNL0	NUTM2B	NUT family member 2B	A6NNL0	NUTM2B	729262	NUTM2B	HGNC:23445	NUTM2B	ENSG00000188199	NUTM2B	protein_coding	10	NA	NA	NA	79703227	79714681	+
A6NNP5	CCDC169	Coiled-coil domain-containing protein 169	A6NNP5	CCDC169	728591	CCDC169	HGNC:34361	CCDC169	ENSG00000242715	CCDC169	protein_coding	13	36801179	36871992	-	36222008	36297840	-
A6NNT2	C16orf96	Uncharacterized protein C16orf96	A6NNT2	C16orf96	342346	C16orf96	HGNC:40031	C16orf96	ENSG00000205832	C16orf96	protein_coding	16	4606491	4650318	+	4556340	4600758	+
A6NNZ2	TUBB8B	Tubulin beta 8B	NA	TUBB8B	260334	TUBB8B	HGNC:24983	TUBB8B	ENSG00000173213	TUBB8B	protein_coding	18	NA	NA	NA	47221	73545	-
A6PVY3	FAM177B	Protein FAM177B	A6PVY3	FAM177B	400823	FAM177B	HGNC:34395	FAM177B	ENSG00000197520	FAM177B	protein_coding	1	222910558	222924002	+	222737202	222751004	+
A7E2U8	C4orf47	UPF0602 protein C4orf47	NA	CFAP96	441054	CFAP96	HGNC:34346	CFAP96	ENSG00000205129	CFAP96	protein_coding	4	186350545	186370821	+	185426249	185449826	+
A7E2V4	ZSWIM8	Zinc finger SWIM domain-containing protein 8	A7E2V4	ZSWIM8	23053	ZSWIM8	HGNC:23528	ZSWIM8	ENSG00000214655	ZSWIM8	protein_coding	10	75545382	75561556	+	73785606	73801797	+
A7E2Y1	MYH7B	Myosin-7B	Q5JW45	MYH7B	57644	MYH7B	HGNC:15906	NA	NA	MYH7B	protein_coding	20	33543704	33590240	+	34955810	35002437	+
A8K0R7	ZNF839	Zinc finger protein 839	A8K0R7	ZNF839	55778	ZNF839	HGNC:20345	ZNF839	ENSG00000022976	ZNF839	protein_coding	14	102783714	102809511	+	102317377	102342702	+
A8K4G0	CD300LB	CMRF35-like molecule 7	A8K4G0	CD300LB	124599	CD300LB	HGNC:30811	CD300LB	ENSG00000178789	CD300LB	protein_coding	17	72517313	72527613	-	74521174	74531475	-
A8K554	ZNF815P	Putative protein ZNF815	NA	NA	NA	NA	NA	NA	ENSG00000235944	NA	NA	7	NA	NA	NA	NA	NA	NA
A8K979	ERI2	ERI1 exoribonuclease 2	A8K979	ERI2	112479	ERI2	HGNC:30541	ERI2	ENSG00000196678	ERI2	protein_coding	16	20791515	20911561	-	20780193	20900349	-
A8MQ03	CYSRT1	Cysteine-rich tail protein 1	A8MQ03	CYSRT1	375791	CYSRT1	HGNC:30529	CYSRT1	ENSG00000197191	CYSRT1	protein_coding	9	140119644	140120763	+	137225174	137226315	+
A8MQ27	NEURL1B	E3 ubiquitin-protein ligase NEURL1B	A8MQ27	NEURL1B	54492	NEURL1B	HGNC:35422	NEURL1B	ENSG00000214357	NEURL1B	protein_coding	5	172068276	172118533	+	172641263	172691540	+
A8MQT2	GOLGA8B	Golgin subfamily A member 8B	NA	GOLGA8B	23015	GOLGA8A	HGNC:31973	GOLGA8B	ENSG00000215252	GOLGA8B	protein_coding	15	34671270	34682001	-	34378935	34437808	-
A8MT33	SYCE1L	Synaptonemal complex central element protein 1-like	A8MT33	SYCE1L	100130958	SYCE1L	HGNC:37236	SYCE1L	ENSG00000205078	SYCE1L	protein_coding	16	77233349	77246976	+	77199408	77213215	+
A8MT66	YU005	Putative uncharacterized protein ENSP00000383407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A8MTB9	CEACAM18	Carcinoembryonic antigen-related cell adhesion molecule 18	A8MTB9	CEACAM18	729767	CEACAM18	HGNC:31949	CEACAM18	ENSG00000213822	CEACAM18	protein_coding	19	51979838	51986611	+	51478539	51491301	+
A8MTL3	RNF212B	RING finger protein 212B	A8MTL3	RNF212B	100507650	RNF212B	HGNC:20438	RNF212B	ENSG00000215277	RNF212B	protein_coding	14	NA	NA	NA	23185316	23273477	+
A8MUA0	YB057	Putative UPF0607 protein ENSP00000383144/ENSP00000381514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A8MVU1	NCF1C	Neutrophil cytosol factor 1/1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A8MVW0	FAM171A2	Protein FAM171A2	A8MVW0	FAM171A2	284069	FAM171A2	HGNC:30480	FAM171A2	ENSG00000161682	FAM171A2	protein_coding	17	42431101	42441235	-	44353215	44363853	-
A8MVW5	HEPACAM2	HEPACAM family member 2	A8MVW5	HEPACAM2	253012	HEPACAM2	HGNC:27364	HEPACAM2	ENSG00000188175	HEPACAM2	protein_coding	7	92817899	92855782	-	93188534	93226469	-
A8MVX0	ARHGEF33	Rho guanine nucleotide exchange factor 33	A8MVX0	ARHGEF33	100271715	ARHGEF33	HGNC:37252	ARHGEF33	ENSG00000214694	ARHGEF33	protein_coding	2	39146504	39202590	+	38875991	38975454	+
A8MVZ5	BTNL10P	Putative butyrophilin-like protein 10 pseudogene	NA	NA	NA	NA	NA	NA	ENSG00000215811	NA	NA	1	NA	NA	NA	NA	NA	NA
A8MW92	PHF20L1	PHD finger protein 20-like protein 1	A8MW92	PHF20L1	51105	PHF20L1	HGNC:24280	PHF20L1	ENSG00000129292	PHF20L1	protein_coding	8	133787604	133861052	+	132775358	132848807	+
A8MWE9	EFCAB8	EF-hand calcium-binding domain-containing protein 8	A8MWE9	EFCAB8	388795	EFCAB8	HGNC:34532	EFCAB8	ENSG00000215529	EFCAB8	protein_coding	20	NA	NA	NA	32858923	32961845	+
A8MX80	YB057	Putative UPF0607 protein ENSP00000383144/ENSP00000381514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A8MYA2	CXorf49	Uncharacterized protein CXorf49	NA	CXorf49B	100132994	CXorf49B	HGNC:34229	CXorf49B	NA	CXorf49B	protein_coding	X	70983140	70987051	+	71763349	71767204	+
A8MYV0	DCDC2C	Doublecortin domain-containing protein 2C	A8MYV0	DCDC2C	728597	DCDC2C	HGNC:32696	DCDC2C	ENSG00000214866	DCDC2C	protein_coding	2	NA	NA	NA	3703575	3848008	+
A8MYZ0	MINDY4B	Inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B	A8MYZ0	MINDY4B	646951	MINDY4B	HGNC:35475	MINDY4B	ENSG00000214237	MINDY4B	protein_coding	3	NA	NA	NA	150870376	150941743	-
A8MZ36	EVPLL	Envoplakin-like protein	A8MZ36	EVPLL	645027	EVPLL	HGNC:35236	EVPLL	ENSG00000214860	EVPLL	protein_coding	17	18281079	18292960	+	18377778	18389647	+
A9QM74	KPNA7	Importin subunit alpha-8	A9QM74	KPNA7	402569	KPNA7	HGNC:21839	KPNA7	ENSG00000185467	KPNA7	protein_coding	7	98771197	98805089	-	99173572	99250075	-
A9UHW6	MIF4GD	MIF4G domain-containing protein	A9UHW6	MIF4GD	57409	MIF4GD	HGNC:24030	MIF4GD	ENSG00000125457	MIF4GD	protein_coding	17	73262310	73267311	-	75266228	75271231	-
B0FP48	UPK3BL1	Uroplakin-3b-like protein 1	B0FP48	UPK3BL1	100134938	UPK3BL1	HGNC:37278	UPK3BL1	ENSG00000267368	UPK3BL1	protein_coding	7	NA	NA	NA	102637025	102642791	-
B0I1T2	MYO1G	Unconventional myosin-Ig	B0I1T2	MYO1G	64005	MYO1G	HGNC:13880	MYO1G	ENSG00000136286	MYO1G	protein_coding	7	45002260	45018704	-	44962662	44979088	-
B1AJZ9	FHAD1	Forkhead-associated domain-containing protein 1	B1AJZ9	FHAD1	114827	FHAD1	HGNC:29408	FHAD1	ENSG00000142621	FHAD1	protein_coding	1	15573768	15726778	+	15236521	15400283	+
B1AKI9	ISM1	Isthmin-1	B1AKI9	ISM1	140862	ISM1	HGNC:16213	ISM1	ENSG00000101230	ISM1	protein_coding	20	13202418	13281297	+	13221274	13300651	+
B1ANS9	WDR64	WD repeat-containing protein 64	B1ANS9	WDR64	128025	WDR64	HGNC:26570	WDR64	ENSG00000162843	WDR64	protein_coding	1	241815580	241965434	+	241652278	241802777	+
B1ATL7	PRR32	Proline-rich protein 32	B1ATL7	PRR32	100130613	PRR32	HGNC:34498	PRR32	ENSG00000183631	PRR32	protein_coding	X	125953747	125955768	+	126819729	126821786	+
