UniProt ID;Gene;Protein name
P17980;PSMC3;26S proteasome regulatory subunit 6A
P43630;KIR3DL2;Killer cell immunoglobulin-like receptor 3DL2
A7E2Y1;MYH7B;Myosin-7B
Q9NS37;CREBZF;CREB/ATF bZIP transcription factor
P30304;CDC25A;M-phase inducer phosphatase 1
Q9P2D8;UNC79;Protein unc-79 homolog
Q14123;PDE1C;Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C
P12004;PCNA;Proliferating cell nuclear antigen
O43739;CYTH3;Cytohesin-3
O00337;SLC28A1;Sodium/nucleoside cotransporter 1
Q9H293;IL25;Interleukin-25
P23771;GATA3;Trans-acting T-cell-specific transcription factor GATA-3
Q5VSG8;MANEAL;Glycoprotein endo-alpha-1,2-mannosidase-like protein
Q587J8;KHDC3L;KH domain-containing protein 3
Q4VC05;BCL7A;B-cell CLL/lymphoma 7 protein family member A
Q9NZQ9;TMOD4;Tropomodulin-4
O75794;CDC123;Cell division cycle protein 123 homolog
Q8NDC4;MORN4;MORN repeat-containing protein 4
Q8TE77;SSH3;Protein phosphatase Slingshot homolog 3
Q13127;REST;RE1-silencing transcription factor
O94986;CEP152;Centrosomal protein of 152 kDa
Q9GZP4;PITHD1;PITH domain-containing protein 1
Q8TDX7;NEK7;Serine/threonine-protein kinase Nek7
A8MTB9;CEACAM18;Carcinoembryonic antigen-related cell adhesion molecule 18
Q9Y6I3;EPN1;Epsin-1
Q5VT06;CEP350;Centrosome-associated protein 350
P01100;FOS;Proto-oncogene c-Fos
P21781;FGF7;Fibroblast growth factor 7
P29353;SHC1;SHC-transforming protein 1
P08700;IL3;Interleukin-3
P34910;EVI2B;Protein EVI2B
Q6P996;PDXDC1;Pyridoxal-dependent decarboxylase domain-containing protein 1
Q9UN42;ATP1B4;Protein ATP1B4
Q6PH85;DCUN1D2;DCN1-like protein 2
Q9UI15;TAGLN3;Transgelin-3
O75409;H2AP;Huntingtin-interacting protein M
Q969P6;TOP1MT;DNA topoisomerase I, mitochondrial
Q9Y3C4;TPRKB;EKC/KEOPS complex subunit TPRKB
Q12849;GRSF1;G-rich sequence factor 1
A8MYV0;DCDC2C;Doublecortin domain-containing protein 2C
P49756;RBM25;RNA-binding protein 25
Q7Z6A9;BTLA;B- and T-lymphocyte attenuator
O43422;THAP12;52 kDa repressor of the inhibitor of the protein kinase
Q86TS9;MRPL52;39S ribosomal protein L52, mitochondrial
P07992;ERCC1;DNA excision repair protein ERCC-1
Q96SD1;DCLRE1C;Protein artemis
Q13087;PDIA2;Protein disulfide-isomerase A2
Q9H0R8;GABARAPL1;Gamma-aminobutyric acid receptor-associated protein-like 1
Q9ULR5;PAIP2B;Polyadenylate-binding protein-interacting protein 2B
Q13972;RASGRF1;Ras-specific guanine nucleotide-releasing factor 1
Q9NQP4;PFDN4;Prefoldin subunit 4
Q06609;RAD51;DNA repair protein RAD51 homolog 1
Q9UBU8;MORF4L1;Mortality factor 4-like protein 1
Q14554;PDIA5;Protein disulfide-isomerase A5
P27701;CD82;CD82 antigen
Q03111;MLLT1;Protein ENL
O95793;STAU1;Double-stranded RNA-binding protein Staufen homolog 1
Q14055;COL9A2;Collagen alpha-2(IX) chain
Q9UNP9;PPIE;Peptidyl-prolyl cis-trans isomerase E
Q00653;NFKB2;Nuclear factor NF-kappa-B p100 subunit
Q9UHJ6;SHPK;Sedoheptulokinase
P42681;TXK;Tyrosine-protein kinase TXK
Q68DV7;RNF43;E3 ubiquitin-protein ligase RNF43
O60603;TLR2;Toll-like receptor 2
P01112;HRAS;GTPase HRas
Q03518;TAP1;Antigen peptide transporter 1
O15078;CEP290;Centrosomal protein of 290 kDa
Q99487;PAFAH2;Platelet-activating factor acetylhydrolase 2, cytoplasmic
Q9UHL9;GTF2IRD1;General transcription factor II-I repeat domain-containing protein 1
O43903;GAS2;Growth arrest-specific protein 2
P47928;ID4;DNA-binding protein inhibitor ID-4
O14879;IFIT3;Interferon-induced protein with tetratricopeptide repeats 3
Q9H2G2;SLK;STE20-like serine/threonine-protein kinase
P49137;MAPKAPK2;MAP kinase-activated protein kinase 2
B0FP48;UPK3BL1;Uroplakin-3b-like protein 1
P43166;CA7;Carbonic anhydrase 7
Q13445;TMED1;Transmembrane emp24 domain-containing protein 1
P11310;ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial
P49662;CASP4;Caspase-4
Q6N021;TET2;Methylcytosine dioxygenase TET2
Q8TCU4;ALMS1;Alstrom syndrome protein 1
P59282;TPPP2;Tubulin polymerization-promoting protein family member 2
Q8WWU5;TCP11;T-complex protein 11 homolog
Q9UK41;VPS28;Vacuolar protein sorting-associated protein 28 homolog
A6NLU5;VSTM2B;V-set and transmembrane domain-containing protein 2B
O75665;OFD1;Oral-facial-digital syndrome 1 protein
O15164;TRIM24;Transcription intermediary factor 1-alpha
O95777;LSM8;U6 snRNA-associated Sm-like protein LSm8
O43247;TEX33;Testis-expressed protein 33
P04183;TK1;Thymidine kinase, cytosolic
Q16181;SEPTIN7;Septin-7
O15294;OGT;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
Q9HCM3;KIAA1549;UPF0606 protein KIAA1549
Q96F10;SAT2;Thialysine N-epsilon-acetyltransferase
Q2M296;MTHFSD;Methenyltetrahydrofolate synthase domain-containing protein
O60237;PPP1R12B;Protein phosphatase 1 regulatory subunit 12B
P51815;ZNF75D;Zinc finger protein 75D
O95696;BRD1;Bromodomain-containing protein 1
P07766;CD3E;T-cell surface glycoprotein CD3 epsilon chain
Q8TEW0;PARD3;Partitioning defective 3 homolog
P19526;FUT1;Galactoside alpha-(1,2)-fucosyltransferase 1
P10398;ARAF;Serine/threonine-protein kinase A-Raf
P78358;CTAG1A_CTAG1B;Cancer/testis antigen 1
Q8WUY3;PRUNE2;Protein prune homolog 2
P22528;SPRR1B;Cornifin-B
O15211;RGL2;Ral guanine nucleotide dissociation stimulator-like 2
P15248;IL9;Interleukin-9
O75293;GADD45B;Growth arrest and DNA damage-inducible protein GADD45 beta
Q6UY09;CEACAM20;Carcinoembryonic antigen-related cell adhesion molecule 20
O00422;SAP18;Histone deacetylase complex subunit SAP18
Q5VUJ9;EFCAB2;Dynein regulatory complex protein 8
Q9Y4G8;RAPGEF2;Rap guanine nucleotide exchange factor 2
Q14204;DYNC1H1;Cytoplasmic dynein 1 heavy chain 1
P25092;GUCY2C;Heat-stable enterotoxin receptor
Q32MZ4;LRRFIP1;Leucine-rich repeat flightless-interacting protein 1
Q7Z6I6;ARHGAP30;Rho GTPase-activating protein 30
P50454;SERPINH1;Serpin H1
Q96NB3;ZNF830;Zinc finger protein 830
Q9UMX5;NENF;Neudesin
Q9ULD2;MTUS1;Microtubule-associated tumor suppressor 1
P43357;MAGEA3;Melanoma-associated antigen 3
P78317;RNF4;E3 ubiquitin-protein ligase RNF4
Q9Y2J4;AMOTL2;Angiomotin-like protein 2
Q495A1;TIGIT;T-cell immunoreceptor with Ig and ITIM domains
O14717;TRDMT1;tRNA (cytosine(38)-C(5))-methyltransferase
P30279;CCND2;G1/S-specific cyclin-D2
P26639;TARS1;Threonine--tRNA ligase 1, cytoplasmic
Q9UJ99;CDH22;Cadherin-22
Q8IV48;ERI1;3'-5' exoribonuclease 1
P33764;S100A3;Protein S100-A3
Q9NYJ8;TAB2;TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
P53420;COL4A4;Collagen alpha-4(IV) chain
Q6UXC1;MAMDC4;Apical endosomal glycoprotein
Q15796;SMAD2;Mothers against decapentaplegic homolog 2
Q92973;TNPO1;Transportin-1
Q6ZVL6;KIAA1549L;UPF0606 protein KIAA1549L
Q9HC77;CENPJ;Centromere protein J
O43768;ENSA;Alpha-endosulfine
Q8WWF5;ZNRF4;E3 ubiquitin-protein ligase ZNRF4
P51948;MNAT1;CDK-activating kinase assembly factor MAT1
P49366;DHPS;Deoxyhypusine synthase
Q92817;EVPL;Envoplakin
P78540;ARG2;Arginase-2, mitochondrial
Q6P995;FAM171B;Protein FAM171B
Q9NQ84;GPRC5C;G-protein coupled receptor family C group 5 member C
P09914;IFIT1;Interferon-induced protein with tetratricopeptide repeats 1
O95997;PTTG1;Securin
Q7Z6P3;RAB44;Ras-related protein Rab-44
Q9BW66;CINP;Cyclin-dependent kinase 2-interacting protein
O43663;PRC1;Protein regulator of cytokinesis 1
P18754;RCC1;Regulator of chromosome condensation
P20702;ITGAX;Integrin alpha-X
Q99963;SH3GL3;Endophilin-A3
Q96AT9;RPE;Ribulose-phosphate 3-epimerase
P49454;CENPF;Centromere protein F
Q6P5Z2;PKN3;Serine/threonine-protein kinase N3
O75843;AP1G2;AP-1 complex subunit gamma-like 2
Q9UHY7;ENOPH1;Enolase-phosphatase E1
P21695;GPD1;Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
O15213;WDR46;WD repeat-containing protein 46
Q9P000;COMMD9;COMM domain-containing protein 9
Q14641;INSL4;Early placenta insulin-like peptide
O75460;ERN1;Serine/threonine-protein kinase/endoribonuclease IRE1
Q8IYS2;KIAA2013;Uncharacterized protein KIAA2013
P52848;NDST1;Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
Q96IQ7;VSIG2;V-set and immunoglobulin domain-containing protein 2
Q6B8I1;DUSP13;Dual specificity protein phosphatase 13 isoform A
O60941;DTNB;Dystrobrevin beta
Q9GZZ8;LACRT;Extracellular glycoprotein lacritin
O43504;LAMTOR5;Ragulator complex protein LAMTOR5
Q9HC57;WFDC1;WAP four-disulfide core domain protein 1
Q16891;IMMT;MICOS complex subunit MIC60
P56851;EDDM3B;Epididymal secretory protein E3-beta
P63146;UBE2B;Ubiquitin-conjugating enzyme E2 B
Q5VX71;SUSD4;Sushi domain-containing protein 4
Q9BZW2;SLC13A1;Solute carrier family 13 member 1
Q92485;SMPDL3B;Acid sphingomyelinase-like phosphodiesterase 3b
P49354;FNTA;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
P05091;ALDH2;Aldehyde dehydrogenase, mitochondrial
Q9UKM9;RALY;RNA-binding protein Raly
O95433;AHSA1;Activator of 90 kDa heat shock protein ATPase homolog 1
Q13287;NMI;N-myc-interactor
Q06643;LTB;Lymphotoxin-beta
Q6PKG0;LARP1;La-related protein 1
Q9Y5E8;PCDHB15;Protocadherin beta-15
P35249;RFC4;Replication factor C subunit 4
Q8NEB7;ACRBP;Acrosin-binding protein
Q9BU02;THTPA;Thiamine-triphosphatase
O60749;SNX2;Sorting nexin-2
O75351;VPS4B;Vacuolar protein sorting-associated protein 4B
Q6UW88;EPGN;Epigen
P20807;CAPN3;Calpain-3
Q8N5J2;MINDY1;Ubiquitin carboxyl-terminal hydrolase MINDY-1
Q96RE7;NACC1;Nucleus accumbens-associated protein 1
Q86TE4;LUZP2;Leucine zipper protein 2
Q8WUD1;RAB2B;Ras-related protein Rab-2B
Q9NUW8;TDP1;Tyrosyl-DNA phosphodiesterase 1
A1KZ92;PXDNL;Peroxidasin-like protein
Q49A26;GLYR1;Putative oxidoreductase GLYR1
Q6UW15;REG3G;Regenerating islet-derived protein 3-gamma
P01266;TG;Thyroglobulin
Q9GZX6;IL22;Interleukin-22
Q8N0Z9;VSIG10;V-set and immunoglobulin domain-containing protein 10
Q13410;BTN1A1;Butyrophilin subfamily 1 member A1
P31785;IL2RG;Cytokine receptor common subunit gamma
Q8IY22;CMIP;C-Maf-inducing protein
Q9BW85;YJU2;Splicing factor YJU2
P36873;PPP1CC;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
Q14160;SCRIB;Protein scribble homolog
P29536;LMOD1;Leiomodin-1
Q765P7;MTSS2;Protein MTSS 2
Q7Z692;CEACAM19;Carcinoembryonic antigen-related cell adhesion molecule 19
O95166;GABARAP;Gamma-aminobutyric acid receptor-associated protein
P19525;EIF2AK2;Interferon-induced, double-stranded RNA-activated protein kinase
Q14BN4;SLMAP;Sarcolemmal membrane-associated protein
A6NM11;LRRC37A2;Leucine-rich repeat-containing protein 37A2
Q9Y3L3;SH3BP1;SH3 domain-binding protein 1
O75528;TADA3;Transcriptional adapter 3
Q9H8Y8;GORASP2;Golgi reassembly-stacking protein 2
Q96T91;GPHA2;Glycoprotein hormone alpha-2
P61812;TGFB2;Transforming growth factor beta-2 proprotein
P21912;SDHB;Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
Q96AQ6;PBXIP1;Pre-B-cell leukemia transcription factor-interacting protein 1
Q8TBM8;DNAJB14;DnaJ homolog subfamily B member 14
Q9HD43;PTPRH;Receptor-type tyrosine-protein phosphatase H
P84022;SMAD3;Mothers against decapentaplegic homolog 3
P43632;KIR2DS4;Killer cell immunoglobulin-like receptor 2DS4
P43627;KIR2DL2;Killer cell immunoglobulin-like receptor 2DL2
Q86UX2;ITIH5;Inter-alpha-trypsin inhibitor heavy chain H5
Q8NG06;TRIM58;E3 ubiquitin-protein ligase TRIM58
Q9UHP3;USP25;Ubiquitin carboxyl-terminal hydrolase 25
P13051;UNG;Uracil-DNA glycosylase
Q9H2R5;KLK15;Kallikrein-15
Q9BRQ6;CHCHD6;MICOS complex subunit MIC25
Q92783;STAM;Signal transducing adapter molecule 1
P54652;HSPA2;Heat shock-related 70 kDa protein 2
Q6WCQ1;MPRIP;Myosin phosphatase Rho-interacting protein
Q86SQ7;SDCCAG8;Serologically defined colon cancer antigen 8
Q9H6E4;CCDC134;Coiled-coil domain-containing protein 134
Q9ULC4;MCTS1;Malignant T-cell-amplified sequence 1
P51808;DYNLT3;Dynein light chain Tctex-type 3
Q15599;SLC9A3R2;Na(+)/H(+) exchange regulatory cofactor NHE-RF2
Q05193;DNM1;Dynamin-1
P33316;DUT;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial
O60245;PCDH7;Protocadherin-7
Q16549;PCSK7;Proprotein convertase subtilisin/kexin type 7
P10415;BCL2;Apoptosis regulator Bcl-2
O43805;SSNA1;Sjoegren syndrome nuclear autoantigen 1
Q96K21;ZFYVE19;Abscission/NoCut checkpoint regulator
Q6UW56;ATRAID;All-trans retinoic acid-induced differentiation factor
O60232;ZNRD2;Protein ZNRD2
P11387;TOP1;DNA topoisomerase 1
Q96A25;TMEM106A;Transmembrane protein 106A
Q9BQE9;BCL7B;B-cell CLL/lymphoma 7 protein family member B
Q9Y5Q6;INSL5;Insulin-like peptide INSL5
Q03169;TNFAIP2;Tumor necrosis factor alpha-induced protein 2
P53384;NUBP1;Cytosolic Fe-S cluster assembly factor NUBP1
Q7Z4H3;HDDC2;5'-deoxynucleotidase HDDC2
P14902;IDO1;Indoleamine 2,3-dioxygenase 1
Q16819;MEP1A;Meprin A subunit alpha
Q9P013;CWC15;Spliceosome-associated protein CWC15 homolog
O00203;AP3B1;AP-3 complex subunit beta-1
Q8IXQ3;C9orf40;Uncharacterized protein C9orf40
O75940;SMNDC1;Survival of motor neuron-related-splicing factor 30
Q68D85;NCR3LG1;Natural cytotoxicity triggering receptor 3 ligand 1
Q9UH65;SWAP70;Switch-associated protein 70
Q14011;CIRBP;Cold-inducible RNA-binding protein
P17181;IFNAR1;Interferon alpha/beta receptor 1
Q676U5;ATG16L1;Autophagy-related protein 16-1
Q96RF0;SNX18;Sorting nexin-18
Q15172;PPP2R5A;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
Q86UU1;PHLDB1;Pleckstrin homology-like domain family B member 1
O43312;MTSS1;Protein MTSS 1
P20700;LMNB1;Lamin-B1
Q02750;MAP2K1;Dual specificity mitogen-activated protein kinase kinase 1
Q99733;NAP1L4;Nucleosome assembly protein 1-like 4
O43653;PSCA;Prostate stem cell antigen
Q6NUJ1;PSAPL1;Proactivator polypeptide-like 1
P54577;YARS1;Tyrosine--tRNA ligase, cytoplasmic
Q2WEN9;CEACAM16;Carcinoembryonic antigen-related cell adhesion molecule 16
P42081;CD86;T-lymphocyte activation antigen CD86
Q8WXX5;DNAJC9;DnaJ homolog subfamily C member 9
Q8IV16;GPIHBP1;Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1
Q63HQ2;EGFLAM;Pikachurin
Q9UIM3;FKBPL;FK506-binding protein-like
P19075;TSPAN8;Tetraspanin-8
P21128;ENDOU;Poly(U)-specific endoribonuclease
O60502;OGA;Protein O-GlcNAcase
Q13443;ADAM9;Disintegrin and metalloproteinase domain-containing protein 9
O75830;SERPINI2;Serpin I2
Q93033;CD101;Immunoglobulin superfamily member 2
Q14246;ADGRE1;Adhesion G protein-coupled receptor E1
Q96DE0;NUDT16;U8 snoRNA-decapping enzyme
Q9Y5S2;CDC42BPB;Serine/threonine-protein kinase MRCK beta
Q8NHZ8;CDC26;Anaphase-promoting complex subunit CDC26
O75071;EFCAB14;EF-hand calcium-binding domain-containing protein 14
Q8TF64;GIPC3;PDZ domain-containing protein GIPC3
Q15262;PTPRK;Receptor-type tyrosine-protein phosphatase kappa
Q14258;TRIM25;E3 ubiquitin/ISG15 ligase TRIM25
P13284;IFI30;Gamma-interferon-inducible lysosomal thiol reductase
Q674X7;KAZN;Kazrin
Q92890;UFD1;Ubiquitin recognition factor in ER-associated degradation protein 1
Q6PL24;TMED8;Protein TMED8
Q7Z569;BRAP;BRCA1-associated protein
Q8N6M0;OTUD6B;Deubiquitinase OTUD6B
P53990;IST1;IST1 homolog
O94988;FAM13A;Protein FAM13A
Q17RW2;COL24A1;Collagen alpha-1(XXIV) chain
P49223;SPINT3;Kunitz-type protease inhibitor 3
Q92499;DDX1;ATP-dependent RNA helicase DDX1
O75781;PALM;Paralemmin-1
Q99447;PCYT2;Ethanolamine-phosphate cytidylyltransferase
Q96BQ1;FAM3D;Protein FAM3D
Q9H910;JPT2;Jupiter microtubule associated homolog 2
P17568;NDUFB7;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
Q9H2K0;MTIF3;Translation initiation factor IF-3, mitochondrial
Q9HC56;PCDH9;Protocadherin-9
Q9NPJ3;ACOT13;Acyl-coenzyme A thioesterase 13
Q6BCY4;CYB5R2;NADH-cytochrome b5 reductase 2
P62330;ARF6;ADP-ribosylation factor 6
Q8IWZ8;SUGP1;SURP and G-patch domain-containing protein 1
P48060;GLIPR1;Glioma pathogenesis-related protein 1
Q96R05;RBP7;Retinoid-binding protein 7
Q6UWK7;GPR15L;Protein GPR15L
Q9UMS0;NFU1;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
O15182;CETN3;Centrin-3
