UniProt ID;Gene;Protein name
P01574;IFNB1;Interferon beta
P01579;IFNG;Interferon gamma
K9M1U5;IFNL4;Interferon lambda-4
Q13651;IL10RA;Interleukin-10 receptor subunit alpha
Q14626;IL11RA;Interleukin-11 receptor subunit alpha
Q96PD4;IL17F;Interleukin-17F
Q9UHF4;IL20RA;Interleukin-20 receptor subunit alpha
Q5VVH5;IRAK1BP1;Interleukin-1 receptor-associated kinase 1-binding protein 1
P06756;ITGAV;Integrin alpha-V
P29376;LTK;Leukocyte tyrosine kinase receptor
Q9Y5Q3;MAFB;Transcription factor MafB
Q9BPZ7;MAPKAP1;Target of rapamycin complex 2 subunit MAPKAP1
Q06413;MEF2C;Myocyte-specific enhancer factor 2C
P25325;MPST;3-mercaptopyruvate sulfurtransferase
Q13126;MTAP;S-methyl-5'-thioadenosine phosphorylase
Q12965;MYO1E;Unconventional myosin-Ie
Q6ZNJ1;NBEAL2;Neurobeachin-like protein 2
A8MVU1_P14598;NCF1C_NCF1;Neutrophil cytosol factor 1/1C
O14931;NCR3;Natural cytotoxicity triggering receptor 3
O75380;NDUFS6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
P12004;PCNA;Proliferating cell nuclear antigen
Q08493;PDE4C;cAMP-specific 3',5'-cyclic phosphodiesterase 4C
P19174;PLCG1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
A5LHX3;PSMB11;Proteasome subunit beta type-11
Q06124;PTPN11;Tyrosine-protein phosphatase non-receptor type 11
Q15678;PTPN14;Tyrosine-protein phosphatase non-receptor type 14
O95786;RIGI;Antiviral innate immune response receptor RIG-I
Q9Y572;RIPK3;Receptor-interacting serine/threonine-protein kinase 3
Q8IUD6;RNF135;E3 ubiquitin-protein ligase RNF135
Q63HN8;RNF213;E3 ubiquitin-protein ligase RNF213
P34925;RYK;Tyrosine-protein kinase RYK
Q5VUM1;SDHAF4;Succinate dehydrogenase assembly factor 4, mitochondrial
Q9BRV8;SIKE1;Suppressor of IKBKE 1
Q15796;SMAD2;Mothers against decapentaplegic homolog 2
P16150;SPN;Leukosialin
Q8N1F8;STK11IP;Serine/threonine-protein kinase 11-interacting protein
Q9UEW8;STK39;STE20/SPS1-related proline-alanine-rich protein kinase
Q13148;TARDBP;TAR DNA-binding protein 43
P19484;TFEB;Transcription factor EB
Q8WV44;TRIM41;E3 ubiquitin-protein ligase TRIM41
Q99576;TSC22D3;TSC22 domain family protein 3
Q96LR5;UBE2E2;Ubiquitin-conjugating enzyme E2 E2
Q8IWV8;UBR2;E3 ubiquitin-protein ligase UBR2
Q9P1Q0;VPS54;Vacuolar protein sorting-associated protein 54
Q8IV63;VRK3;Inactive serine/threonine-protein kinase VRK3
A2A288;ZC3H12D;Probable ribonuclease ZC3H12D
Q9Y243;AKT3;RAC-gamma serine/threonine-protein kinase
P09923;ALPI;Intestinal-type alkaline phosphatase
O95260;ATE1;Arginyl-tRNA--protein transferase 1
O75787;ATP6AP2;Renin receptor
O95429;BAG4;BAG family molecular chaperone regulator 4
Q07812;BAX;Apoptosis regulator BAX
Q5TBC7;BCL2L15;Bcl-2-like protein 15
P21810;BGN;Biglycan
P25440;BRD2;Bromodomain-containing protein 2
P35070;BTC;Probetacellulin
Q9P1Z2;CALCOCO1;Calcium-binding and coiled-coil domain-containing protein 1
P29466;CASP1;Caspase-1
P20810;CAST;Calpastatin
Q13191;CBLB;E3 ubiquitin-protein ligase CBL-B
P24385;CCND1;G1/S-specific cyclin-D1
P10747;CD28;T-cell-specific surface glycoprotein CD28
P40198;CEACAM3;Carcinoembryonic antigen-related cell adhesion molecule 3
P06731;CEACAM5;Carcinoembryonic antigen-related cell adhesion molecule 5
Q9UHN6;CEMIP2;Cell surface hyaluronidase
Q9UPV0;CEP164;Centrosomal protein of 164 kDa
P0CG37;CFC1;Cryptic protein
O15111;CHUK;Inhibitor of nuclear factor kappa-B kinase subunit alpha
Q6EIG7;CLEC6A;C-type lectin domain family 6 member A
Q9BSW2;CRACR2A;EF-hand calcium-binding domain-containing protein 4B
P06850;CRH;Corticoliberin
P04141;CSF2;Granulocyte-macrophage colony-stimulating factor
P48730;CSNK1D;Casein kinase I isoform delta
Q16619;CTF1;Cardiotrophin-1
P48061;CXCL12;Stromal cell-derived factor 1
Q9UJW0;DCTN4;Dynactin subunit 4
Q9NR30;DDX21;Nucleolar RNA helicase 2
O00148;DDX39A;ATP-dependent RNA helicase DDX39A
O43583;DENR;Density-regulated protein
Q8TDB6;DTX3L;E3 ubiquitin-protein ligase DTX3L
Q14204;DYNC1H1;Cytoplasmic dynein 1 heavy chain 1
O60573;EIF4E2;Eukaryotic translation initiation factor 4E type 2
Q8N8S7;ENAH;Protein enabled homolog
Q9Y2J2;EPB41L3;Band 4.1-like protein 3
P50548;ERF;ETS domain-containing transcription factor ERF
Q9NQT5;EXOSC3;Exosome complex component RRP40
Q96CS3;FAF2;FAS-associated factor 2
Q9NVF7;FBXO28;F-box only protein 28
P12319;FCER1A;High affinity immunoglobulin epsilon receptor subunit alpha
Q96P31;FCRL3;Fc receptor-like protein 3
P12034;FGF5;Fibroblast growth factor 5
Q96AY3;FKBP10;Peptidyl-prolyl cis-trans isomerase FKBP10
Q5T1M5;FKBP15;FK506-binding protein 15
P36888;FLT3;Receptor-type tyrosine-protein kinase FLT3
Q04609;FOLH1;Glutamate carboxypeptidase 2
Q9UPW0;FOXJ3;Forkhead box protein J3
O43524;FOXO3;Forkhead box protein O3
P35637;FUS;RNA-binding protein FUS
Q96DB9;FXYD5;FXYD domain-containing ion transport regulator 5
Q9BQS8;FYCO1;FYVE and coiled-coil domain-containing protein 1
Q14435;GALNT3;Polypeptide N-acetylgalactosaminyltransferase 3
P32456;GBP2;Guanylate-binding protein 2
P01275;GCG;Pro-glucagon
P14136;GFAP;Glial fibrillary acidic protein
P55789;GFER;FAD-linked sulfhydryl oxidase ALR
P09211;GSTP1;Glutathione S-transferase P
Q9UQL6;HDAC5;Histone deacetylase 5
Q16665;HIF1A;Hypoxia-inducible factor 1-alpha
Q13151;HNRNPA0;Heterogeneous nuclear ribonucleoprotein A0
O60760;HPGDS;Hematopoietic prostaglandin D synthase
P14625;HSP90B1;Endoplasmin
Q05084;ICA1;Islet cell autoantigen 1
O14879;IFIT3;Interferon-induced protein with tetratricopeptide repeats 3
P22301;IL10;Interleukin-10
P20809;IL11;Interleukin-11
P42701;IL12RB1;Interleukin-12 receptor subunit beta-1
P35225;IL13;Interleukin-13
Q13261;IL15RA;Interleukin-15 receptor subunit alpha
Q16552;IL17A;Interleukin-17A
Q9P0M4;IL17C;Interleukin-17C
Q8N6P7;IL22RA1;Interleukin-22 receptor subunit alpha-1
P14784;IL2RB;Interleukin-2 receptor subunit beta
O76095;JTB;Protein JTB
Q6UXK5;LRRN1;Leucine-rich repeat neuronal protein 1
Q7Z434;MAVS;Mitochondrial antiviral-signaling protein
Q7Z6M3;MILR1;Allergin-1
Q9H3R2;MUC13;Mucin-13
Q96A32;MYL11;Myosin regulatory light chain 11
O60934;NBN;Nibrin
O60260;PRKN;E3 ubiquitin-protein ligase parkin
P31040;SDHA;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
P55735;SEC13;Protein SEC13 homolog
Q7Z698;SPRED2;Sprouty-related, EVH1 domain-containing protein 2
P63165;SUMO1;Small ubiquitin-related modifier 1
O94941;UBOX5;RING finger protein 37
Q8IUB2;WFDC3;WAP four-disulfide core domain protein 3
Q7Z7G0;ABI3BP;Target of Nesh-SH3
P00519;ABL1;Tyrosine-protein kinase ABL1
P16112;ACAN;Aggrecan core protein
Q9BYF1;ACE2;Angiotensin-converting enzyme 2
P24666;ACP1;Low molecular weight phosphotyrosine protein phosphatase
Q9NPH0;ACP6;Lysophosphatidic acid phosphatase type 6
P26436;ACRV1;Acrosomal protein SP-10
P37023;ACVRL1;Serine/threonine-protein kinase receptor R3
Q96HD9;ACY3;N-acyl-aromatic-L-amino acid amidohydrolase
P00813;ADA;Adenosine deaminase
Q13444;ADAM15;Disintegrin and metalloproteinase domain-containing protein 15
Q9P0K1;ADAM22;Disintegrin and metalloproteinase domain-containing protein 22
O75077;ADAM23;Disintegrin and metalloproteinase domain-containing protein 23
P78325;ADAM8;Disintegrin and metalloproteinase domain-containing protein 8
Q9UHI8;ADAMTS1;A disintegrin and metalloproteinase with thrombospondin motifs 1
Q8TE58;ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15
Q6UY14;ADAMTSL4;ADAMTS-like protein 4
O14514;ADGRB1;Adhesion G protein-coupled receptor B1
O60242;ADGRB3;Adhesion G protein-coupled receptor B3
Q14246;ADGRE1;Adhesion G protein-coupled receptor E1
Q9BY15;ADGRE3;Adhesion G protein-coupled receptor E3
P35318;ADM;Pro-adrenomedullin
P30566;ADSL;Adenylosuccinate lyase
Q8TED9;AFAP1L1;Actin filament-associated protein 1-like 1
O95994;AGR2;Anterior gradient protein 2 homolog
O00253;AGRP;Agouti-related protein
Q09666;AHNAK;Neuroblast differentiation-associated protein AHNAK
Q8IVF2;AHNAK2;Protein AHNAK2
O95433;AHSA1;Activator of 90 kDa heat shock protein ATPase homolog 1
Q9Y2D5;AKAP2;A-kinase anchor protein 2
Q96B36;AKT1S1;Proline-rich AKT1 substrate 1
P31751;AKT2;RAC-beta serine/threonine-protein kinase
P30838;ALDH3A1;Aldehyde dehydrogenase, dimeric NADP-preferring
Q96NU7;AMDHD1;Probable imidazolonepropionase
Q86SJ2;AMIGO2;Amphoterin-induced protein 2
Q8IV38;ANKMY2;Ankyrin repeat and MYND domain-containing protein 2
Q6UB99;ANKRD11;Ankyrin repeat domain-containing protein 11
Q9UJ72;ANXA10;Annexin A10
P07355;ANXA2;Annexin A2
O00203;AP3B1;AP-3 complex subunit beta-1
Q7Z5R6;APBB1IP;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Q96GX9;APIP;Methylthioribulose-1-phosphate dehydratase
P05089;ARG1;Arginase-1
Q9NZN5;ARHGEF12;Rho guanine nucleotide exchange factor 12
P07306;ASGR1;Asialoglycoprotein receptor 1
Q9BZE9;ASPSCR1;Tether containing UBX domain for GLUT4
P00966;ASS1;Argininosuccinate synthase
Q676U5;ATG16L1;Autophagy-related protein 16-1
O00244;ATOX1;Copper transport protein ATOX1
Q16864;ATP6V1F;V-type proton ATPase subunit F
O75348;ATP6V1G1;V-type proton ATPase subunit G 1
O95670;ATP6V1G2;V-type proton ATPase subunit G 2
Q6UW56;ATRAID;All-trans retinoic acid-induced differentiation factor
P54252;ATXN3;Ataxin-3
O15169;AXIN1;Axin-1
Q9H6S1;AZI2;5-azacytidine-induced protein 2
Q8NFL0;B3GNT7;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
O14867;BACH1;Transcription regulator protein BACH1
Q9UL15;BAG5;BAG family molecular chaperone regulator 5
P46379;BAG6;Large proline-rich protein BAG6
Q8NDB2;BANK1;B-cell scaffold protein with ankyrin repeats
Q96GW7;BCAN;Brevican core protein
P10415;BCL2;Apoptosis regulator Bcl-2
Q07817;BCL2L1;Bcl-2-like protein 1
P11274;BCR;Breakpoint cluster region protein
Q8WV28;BLNK;B-cell linker protein
P12644;BMP4;Bone morphogenetic protein 4
P22004;BMP6;Bone morphogenetic protein 6
P18075;BMP7;Bone morphogenetic protein 7
O60238;BNIP3L;BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
Q9BWV1;BOC;Brother of CDO
Q9H3K6;BOLA2;BolA-like protein 2
Q96DR5;BPIFA2;BPI fold-containing family A member 2
P35613;BSG;Basigin
Q13410;BTN1A1;Butyrophilin subfamily 1 member A1
P78410;BTN3A2;Butyrophilin subfamily 3 member A2
Q6UX73;C16orf89;UPF0764 protein C16orf89
P02745;C1QA;Complement C1q subcomponent subunit A
Q7Z5L3;C1QL2;Complement C1q-like protein 2
Q9BXI9;C1QTNF6;Complement C1q tumor necrosis factor-related protein 6
P20851;C4BPB;C4b-binding protein beta chain
Q8IXQ3;C9orf40;Uncharacterized protein C9orf40
O43570;CA12;Carbonic anhydrase 12
Q9ULX7;CA14;Carbonic anhydrase 14
Q16790;CA9;Carbonic anhydrase 9
P01258;CALCA;Calcitonin
P10092;CALCB;Calcitonin gene-related peptide 2
Q13137;CALCOCO2;Calcium-binding and coiled-coil domain-containing protein 2
Q96GE6;CALML4;Calmodulin-like protein 4
Q5T5Y3;CAMSAP1;Calmodulin-regulated spectrin-associated protein 1
P40121;CAPG;Macrophage-capping protein
P20807;CAPN3;Calpain-3
Q13938;CAPS;Calcyphosin
Q92851;CASP10;Caspase-10
P42575;CASP2;Caspase-2
P49662;CASP4;Caspase-4
P55210;CASP7;Caspase-7
Q14790;CASP8;Caspase-8
P55211;CASP9;Caspase-9
Q9NTU7;CBLN4;Cerebellin-4
P35520;CBS;Cystathionine beta-synthase
Q6P1N0;CC2D1A;Coiled-coil and C2 domain-containing protein 1A
Q8IX12;CCAR1;Cell division cycle and apoptosis regulator protein 1
I3L3R5;CCER2;Coiled-coil domain-containing glutamate-rich protein 2
P06307;CCK;Cholecystokinin
P51671;CCL11;Eotaxin
P78556;CCL20;C-C motif chemokine 20
O15444;CCL25;C-C motif chemokine 25
Q9Y258;CCL26;C-C motif chemokine 26
Q9NRJ3;CCL28;C-C motif chemokine 28
P10147;CCL3;C-C motif chemokine 3
P13236;CCL4;C-C motif chemokine 4
P80098;CCL7;C-C motif chemokine 7
P80075;CCL8;C-C motif chemokine 8
O00622;CCN1;CCN family member 1
O95388;CCN4;CCN family member 4
Q93033;CD101;Immunoglobulin superfamily member 2
O95971;CD160;CD160 antigen
P41217;CD200;OX-2 membrane glycoprotein
Q8TD46;CD200R1;Cell surface glycoprotein CD200 receptor 1
Q9UJ71;CD207;C-type lectin domain family 4 member K
P20273;CD22;B-cell receptor CD22
Q15762;CD226;CD226 antigen
Q9BZW8;CD244;Natural killer cell receptor 2B4
Q9NZQ7;CD274;Programmed cell death 1 ligand 1
Q496F6;CD300E;CMRF35-like molecule 2
Q8IX05;CD302;CD302 antigen
P28907;CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
P01730;CD4;T-cell surface glycoprotein CD4
P29965;CD40LG;CD40 ligand
P06127;CD5;T-cell surface glycoprotein CD5
P30203;CD6;T-cell differentiation antigen CD6
P08962;CD63;CD63 antigen
P09564;CD7;T-cell antigen CD7
P32970;CD70;CD70 antigen
P40259;CD79B;B-cell antigen receptor complex-associated protein beta chain
Q01151;CD83;CD83 antigen
Q9UIB8;CD84;SLAM family member 5
P42081;CD86;T-lymphocyte activation antigen CD86
Q8NHZ8;CDC26;Anaphase-promoting complex subunit CDC26
Q9H5V8;CDCP1;CUB domain-containing protein 1
P22223;CDH3;Cadherin-3
P38936;CDKN1A;Cyclin-dependent kinase inhibitor 1
Q49AH0;CDNF;Cerebral dopamine neurotrophic factor
Q15517;CDSN;Corneodesmosin
Q2WEN9;CEACAM16;Carcinoembryonic antigen-related cell adhesion molecule 16
Q7Z692;CEACAM19;Carcinoembryonic antigen-related cell adhesion molecule 19
Q3KPI0;CEACAM21;Carcinoembryonic antigen-related cell adhesion molecule 21
P31997;CEACAM8;Carcinoembryonic antigen-related cell adhesion molecule 8
P17676;CEBPB;CCAAT/enhancer-binding protein beta
O00748;CES2;Cocaine esterase
Q6UWW8;CES3;Carboxylesterase 3
Q96G28;CFAP36;Cilia- and flagella-associated protein 36
Q9BRQ6;CHCHD6;MICOS complex subunit MIC25
Q07065;CKAP4;Cytoskeleton-associated protein 4
Q8IUN9;CLEC10A;C-type lectin domain family 10 member A
Q5QGZ9;CLEC12A;C-type lectin domain family 12 member A
Q8NC01;CLEC1A;C-type lectin domain family 1 member A
Q9UMR7;CLEC4A;C-type lectin domain family 4 member A
Q8WTT0;CLEC4C;C-type lectin domain family 4 member C
Q8WXI8;CLEC4D;C-type lectin domain family 4 member D
Q6UXB4;CLEC4G;C-type lectin domain family 4 member G
Q9NY25;CLEC5A;C-type lectin domain family 5 member A
Q9BXN2;CLEC7A;C-type lectin domain family 7 member A
Q9H4D0;CLSTN2;Calsyntenin-2
Q9BQT9;CLSTN3;Calsyntenin-3
P09543;CNP;2',3'-cyclic-nucleotide 3'-phosphodiesterase
Q8N129;CNPY4;Protein canopy homolog 4
Q02246;CNTN2;Contactin-2
Q9UHC6;CNTNAP2;Contactin-associated protein-like 2
Q17RW2;COL24A1;Collagen alpha-1(XXIV) chain
Q2UY09;COL28A1;Collagen alpha-1(XXVIII) chain
P20849;COL9A1;Collagen alpha-1(IX) chain
Q9P000;COMMD9;COMM domain-containing protein 9
P21964;COMT;Catechol O-methyltransferase
P16870;CPE;Carboxypeptidase E
Q9H3G5;CPVL;Probable serine carboxypeptidase CPVL
P78560;CRADD;Death domain-containing protein CRADD
P16562;CRISP2;Cysteine-rich secretory protein 2
Q9UBG3;CRNN;Cornulin
O95727;CRTAM;Cytotoxic and regulatory T-cell molecule
O95825;CRYZL1;Quinone oxidoreductase-like protein 1
P09603;CSF1;Macrophage colony-stimulating factor 1
P32927;CSF2RB;Cytokine receptor common subunit beta
Q99062;CSF3R;Granulocyte colony-stimulating factor receptor
P50461;CSRP3;Cysteine and glycine-rich protein 3
P28325;CST5;Cystatin-D
P32929;CTH;Cystathionine gamma-lyase
P40313;CTRL;Chymotrypsin-like protease CTRL-1
Q9UBX1;CTSF;Cathepsin F
P09668;CTSH;Pro-cathepsin H
P43234;CTSO;Cathepsin O
O60911;CTSV;Cathepsin L2
P78423;CX3CL1;Fractalkine
P78310;CXADR;Coxsackievirus and adenovirus receptor
P09341;CXCL1;Growth-regulated alpha protein
P02778;CXCL10;C-X-C motif chemokine 10
Q6UXB2;CXCL17;C-X-C motif chemokine 17
P80162;CXCL6;C-X-C motif chemokine 6
P10145;CXCL8;Interleukin-8
Q07325;CXCL9;C-X-C motif chemokine 9
Q6BCY4;CYB5R2;NADH-cytochrome b5 reductase 2
Q9UIK4;DAPK2;Death-associated protein kinase 2
Q9UN19;DAPP1;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
Q16643;DBN1;Drebrin
P07585;DCN;Decorin
Q96C86;DCPS;m7GpppX diphosphatase
Q14203;DCTN1;Dynactin subunit 1
Q13561;DCTN2;Dynactin subunit 2
Q16698;DECR1;2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial
P81534;DEFB103A_DEFB103B;Beta-defensin 103
O00273;DFFA;DNA fragmentation factor subunit alpha
P23743;DGKA;Diacylglycerol kinase alpha
P49366;DHPS;Deoxyhypusine synthase
Q9UBT3;DKK4;Dickkopf-related protein 4
P78352;DLG4;Disks large homolog 4
Q8WW22;DNAJA4;DnaJ homolog subfamily A member 4
P25685;DNAJB1;DnaJ homolog subfamily B member 1
O75061;DNAJC6;Putative tyrosine-protein phosphatase auxilin
Q05193;DNM1;Dynamin-1
Q9UQ16;DNM3;Dynamin-3
Q6XZF7;DNMBP;Dynamin-binding protein
Q9ULA0;DNPEP;Aspartyl aminopeptidase
P16444;DPEP1;Dipeptidase 1
Q9H4A9;DPEP2;Dipeptidase 2
Q8N608;DPP10;Inactive dipeptidyl peptidase 10
P42658;DPP6;Dipeptidyl aminopeptidase-like protein 6
Q9C005;DPY30;Protein dpy-30 homolog
Q8NBI3;DRAXIN;Draxin
P32926;DSG3;Desmoglein-3
O60941;DTNB;Dystrobrevin beta
Q8N9I9;DTX3;Probable E3 ubiquitin-protein ligase DTX3
P33316;DUT;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial
O00559;EBAG9;Receptor-binding cancer antigen expressed on SiSo cells
Q14213_Q8NEV9;EBI3_IL27;Interleukin-27
P42892;ECE1;Endothelin-converting enzyme 1
Q9HAV5;EDA2R;Tumor necrosis factor receptor superfamily member 27
Q9UNE0;EDAR;Tumor necrosis factor receptor superfamily member EDAR
Q96C19;EFHD2;EF-hand domain-containing protein D2
P52798;EFNA4;Ephrin-A4
Q63HQ2;EGFLAM;Pikachurin
Q9GZT9;EGLN1;Egl nine homolog 1
Q9H223;EHD4;EH domain-containing protein 4
P20042;EIF2S2;Eukaryotic translation initiation factor 2 subunit 2
P06730;EIF4E;Eukaryotic translation initiation factor 4E
Q15370;ELOB;Elongin-B
Q9HC35;EML4;Echinoderm microtubule-associated protein-like 4
P21128;ENDOU;Uridylate-specific endoribonuclease
P22413;ENPP1;Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
Q6UWR7;ENPP6;Glycerophosphocholine cholinephosphodiesterase ENPP6
O75356;ENTPD5;Nucleoside diphosphate phosphatase ENTPD5
O75354;ENTPD6;Ectonucleoside triphosphate diphosphohydrolase 6
P29317;EPHA2;Ephrin type-A receptor 2
O15197;EPHB6;Ephrin type-B receptor 6
Q9H6S3;EPS8L2;Epidermal growth factor receptor kinase substrate 8-like protein 2
Q15303;ERBB4;Receptor tyrosine-protein kinase erbB-4
O14944;EREG;Proepiregulin
O75460;ERN1;Serine/threonine-protein kinase/endoribonuclease IRE1
Q9BS26;ERP44;Endoplasmic reticulum resident protein 44
P03372;ESR1;Estrogen receptor
P58658;EVA1C;Protein eva-1 homolog C
O60447;EVI5;Ecotropic viral integration site 5 protein homolog
P15311;EZR;Ezrin
P13726;F3;Tissue factor
P58499;FAM3B;Protein FAM3B
Q96BQ1;FAM3D;Protein FAM3D
P48023;FASLG;Tumor necrosis factor ligand superfamily member 6
P24071;FCAR;Immunoglobulin alpha Fc receptor
Q96LA5;FCRL2;Fc receptor-like protein 2
Q6DN72;FCRL6;Fc receptor-like protein 6
O95750;FGF19;Fibroblast growth factor 19
P09038;FGF2;Fibroblast growth factor 2
Q9NSA1;FGF21;Fibroblast growth factor 21
Q9GZV9;FGF23;Fibroblast growth factor 23
Q8TAT2;FGFBP3;Fibroblast growth factor-binding protein 3
P09769;FGR;Tyrosine-protein kinase Fgr
P49789;FHIT;Bis(5'-adenosyl)-triphosphatase
Q02790;FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4
Q13451;FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5
Q9UIM3;FKBPL;FK506-binding protein-like
O43155;FLRT2;Leucine-rich repeat transmembrane protein FLRT2
P49771;FLT3LG;Fms-related tyrosine kinase 3 ligand
O95466;FMNL1;Formin-like protein 1
Q4ZHG4;FNDC1;Fibronectin type III domain-containing protein 1
P49354;FNTA;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
Q12778;FOXO1;Forkhead box protein O1
Q92765;FRZB;Secreted frizzled-related protein 3
Q12841;FSTL1;Follistatin-related protein 1
P09958;FURIN;Furin
Q9BYC5;FUT8;Alpha-(1,6)-fucosyltransferase
Q86SR1;GALNT10;Polypeptide N-acetylgalactosaminyltransferase 10
Q10471;GALNT2;Polypeptide N-acetylgalactosaminyltransferase 2
P04062;GBA1;Lysosomal acid glucosylceramidase
Q02742;GCNT1;Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
P39905;GDNF;Glial cell line-derived neurotrophic factor
P56159;GFRA1;GDNF family receptor alpha-1
O00451;GFRA2;GDNF family receptor alpha-2
O60609;GFRA3;GDNF family receptor alpha-3
Q6UXV0;GFRAL;GDNF family receptor alpha-like
Q9Y2X7;GIT1;ARF GTPase-activating protein GIT1
P48060;GLIPR1;Glioma pathogenesis-related protein 1
Q9NS18;GLRX2;Glutaredoxin-2, mitochondrial
P36959;GMPR;GMP reductase 1
Q9HD26;GOPC;Golgi-associated PDZ and coiled-coil motif-containing protein
P55259;GP2;Pancreatic secretory granule membrane major glycoprotein GP2
Q99795;GPA33;Cell surface A33 antigen
P35052;GPC1;Glypican-1
P78333;GPC5;Glypican-5
P21695;GPD1;Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
Q8IV16;GPIHBP1;Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1
Q6UWK7;GPR15LG;Protein GPR15LG
O15354;GPR37;Prosaposin receptor GPR37
P07492;GRP;Gastrin-releasing peptide
Q9HAV7;GRPEL1;GrpE protein homolog 1, mitochondrial
P12544;GZMA;Granzyme A
P10144;GZMB;Granzyme B
P20718;GZMH;Granzyme H
Q9UJM8;HAO1;2-Hydroxyacid oxidase 1
Q96D42;HAVCR1;Hepatitis A virus cellular receptor 1
Q99075;HBEGF;Proheparin-binding EGF-like growth factor
P14317;HCLS1;Hematopoietic lineage cell-specific protein
Q9UKV0;HDAC9;Histone deacetylase 9
Q9BQS7;HEPH;Hephaestin
P14210;HGF;Hepatocyte growth factor
Q03014;HHEX;Hematopoietically-expressed homeobox protein HHEX
P04439;HLA-A;HLA class I histocompatibility antigen, A alpha chain
P08397;HMBS;Porphobilinogen deaminase
P30519;HMOX2;Heme oxygenase 2
P50135;HNMT;Histamine N-methyltransferase
Q9BUJ2;HNRNPUL1;Heterogeneous nuclear ribonucleoprotein U-like protein 1
Q9NSC5;HOMER3;Homer protein homolog 3
P01112;HRAS;GTPase HRas
