UniProt ID;Gene;Protein name
O43736;ITM2A;Integral membrane protein 2A
Q7Z6M3;MILR1;Allergin-1
O14867;BACH1;Transcription regulator protein BACH1
Q8IU57;IFNLR1;Interferon lambda receptor 1
Q8TAD2;IL17D;Interleukin-17D
Q12933;TRAF2;TNF receptor-associated factor 2
Q96RJ3;TNFRSF13C;Tumor necrosis factor receptor superfamily member 13C
P09038;FGF2;Fibroblast growth factor 2
P42768;WAS;Wiskott-Aldrich syndrome protein
Q7Z739;YTHDF3;YTH domain-containing family protein 3
Q9P0M4;IL17C;Interleukin-17C
O60575;SPINK4;Serine protease inhibitor Kazal-type 4
Q9Y5A7;NUB1;NEDD8 ultimate buster 1
O60542;PSPN;Persephin
P13693;TPT1;Translationally-controlled tumor protein
P30838;ALDH3A1;Aldehyde dehydrogenase, dimeric NADP-preferring
Q06520;SULT2A1;Bile salt sulfotransferase
O43597;SPRY2;Protein sprouty homolog 2
P30048;PRDX3;Thioredoxin-dependent peroxide reductase, mitochondrial
Q0Z7S8;FABP9;Fatty acid-binding protein 9
P09919;CSF3;Granulocyte colony-stimulating factor
P32456;GBP2;Guanylate-binding protein 2
Q9BXJ7;AMN;Protein amnionless
P18564;ITGB6;Integrin beta-6
P01591;JCHAIN;Immunoglobulin J chain
P01583;IL1A;Interleukin-1 alpha
P01579;IFNG;Interferon gamma
P78362;SRPK2;SRSF protein kinase 2
Q13291;SLAMF1;Signaling lymphocytic activation molecule
Q8N8S7;ENAH;Protein enabled homolog
Q13261;IL15RA;Interleukin-15 receptor subunit alpha
P42701;IL12RB1;Interleukin-12 receptor subunit beta-1
P09874;PARP1;Poly [ADP-ribose] polymerase 1
P51617;IRAK1;Interleukin-1 receptor-associated kinase 1
Q05084;ICA1;Islet cell autoantigen 1
Q9HB29;IL1RL2;Interleukin-1 receptor-like 2
O43521-2;BCL2L11;Bcl-2-like protein 11, Isoform BimL 
P12034;FGF5;Fibroblast growth factor 5
Q12778;FOXO1;Forkhead box protein O1
O60880;SH2D1A;SH2 domain-containing protein 1A
P55957;BID;BH3-interacting domain death agonist
Q14435;GALNT3;Polypeptide N-acetylgalactosaminyltransferase 3
Q12968;NFATC3;Nuclear factor of activated T-cells, cytoplasmic 3
Q6UB28;METAP1D;Methionine aminopeptidase 1D, mitochondrial
Q92844;TANK;TRAF family member-associated NF-kappa-B activator
Q7L8A9;VASH1;Tubulinyl-Tyr carboxypeptidase 1
P05113;IL5;Interleukin-5
P05231;IL6;Interleukin-6
P01903;HLA-DRA;HLA class II histocompatibility antigen, DR alpha chain
O95644;NFATC1;Nuclear factor of activated T-cells, cytoplasmic 1
Q9Y6K9;IKBKG;NF-kappa-B essential modulator
P58294;PROK1;Prokineticin-1
Q12765;SCRN1;Secernin-1
P12872;MLN;Promotilin
P78410;BTN3A2;Butyrophilin subfamily 3 member A2
Q6ZMH5;SLC39A5;Zinc transporter ZIP5
B1AKI9;ISM1;Isthmin-1
Q8WTT0;CLEC4C;C-type lectin domain family 4 member C
Q96LC7;SIGLEC10;Sialic acid-binding Ig-like lectin 10
P13232;IL7;Interleukin-7
O75475;PSIP1;PC4 and SFRS1-interacting protein
P19474;TRIM21;E3 ubiquitin-protein ligase TRIM21
P13747;HLA-E;HLA class I histocompatibility antigen, alpha chain E
Q9UNK0;STX8;Syntaxin-8
P33241;LSP1;Lymphocyte-specific protein 1
Q6DN72;FCRL6;Fc receptor-like protein 6
P23229;ITGA6;Integrin alpha-6
Q8IVG5;SAMD9L;Sterile alpha motif domain-containing protein 9-like
Q8N608;DPP10;Inactive dipeptidyl peptidase 10
Q3KPI0;CEACAM21;Carcinoembryonic antigen-related cell adhesion molecule 21
P20849;COL9A1;Collagen alpha-1(IX) chain
Q9NRJ3;CCL28;C-C motif chemokine 28
P23582;NPPC;C-type natriuretic peptide
P19878;NCF2;Neutrophil cytosol factor 2
O76036;NCR1;Natural cytotoxicity triggering receptor 1
Q01151;CD83;CD83 antigen
P24071;FCAR;Immunoglobulin alpha Fc receptor
P40933;IL15;Interleukin-15
P78310;CXADR;Coxsackievirus and adenovirus receptor
Q9BT73;PSMG3;Proteasome assembly chaperone 3
Q14242;SELPLG;P-selectin glycoprotein ligand 1
P11274;BCR;Breakpoint cluster region protein
P45984;MAPK9;Mitogen-activated protein kinase 9
Q9UHC6;CNTNAP2;Contactin-associated protein-like 2
P42575;CASP2;Caspase-2
Q9NZN5;ARHGEF12;Rho guanine nucleotide exchange factor 12
Q9H0P0;NT5C3A;Cytosolic 5'-nucleotidase 3A
P52564;MAP2K6;Dual specificity mitogen-activated protein kinase kinase 6
Q9HD26;GOPC;Golgi-associated PDZ and coiled-coil motif-containing protein
Q9UDT6;CLIP2;CAP-Gly domain-containing linker protein 2
Q9C035;TRIM5;Tripartite motif-containing protein 5
Q9Y258;CCL26;C-C motif chemokine 26
Q9UNE0;EDAR;Tumor necrosis factor receptor superfamily member EDAR
P01588;EPO;Erythropoietin
Q92609;TBC1D5;TBC1 domain family member 5
Q9UN19;DAPP1;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
P80098;CCL7;C-C motif chemokine 7
P26022;PTX3;Pentraxin-related protein PTX3
P13725;OSM;Oncostatin-M
P28827;PTPRM;Receptor-type tyrosine-protein phosphatase mu
P28845;HSD11B1;Corticosteroid 11-beta-dehydrogenase isozyme 1
Q9HCM2;PLXNA4;Plexin-A4
P08727;KRT19;Keratin, type I cytoskeletal 19
P29965;CD40LG;CD40 ligand
Q07065;CKAP4;Cytoskeleton-associated protein 4
P24394;IL4R;Interleukin-4 receptor subunit alpha
Q8TD46;CD200R1;Cell surface glycoprotein CD200 receptor 1
Q8NDB2;BANK1;B-cell scaffold protein with ankyrin repeats
P80162;CXCL6;C-X-C motif chemokine 6
Q29980_Q29983;MICA_MICB;MHC class I polypeptide-related sequence A and MHC class I polypeptide-related sequence B
Q9NWZ3;IRAK4;Interleukin-1 receptor-associated kinase 4
O14788;TNFSF11;Tumor necrosis factor ligand superfamily member 11
P20783;NTF3;Neurotrophin-3
Q14773;ICAM4;Intercellular adhesion molecule 4
Q6UXB4;CLEC4G;C-type lectin domain family 4 member G
Q16698;DECR1;2,4-dienoyl-CoA reductase, mitochondrial
O94992;HEXIM1;Protein HEXIM1
Q08174;PCDH1;Protocadherin-1
P16455;MGMT;Methylated-DNA--protein-cysteine methyltransferase
Q6ZUJ8;PIK3AP1;Phosphoinositide 3-kinase adapter protein 1
O60449;LY75;Lymphocyte antigen 75
P01374;LTA;Lymphotoxin-alpha
P37235;HPCAL1;Hippocalcin-like protein 1
Q9NRM6;IL17RB;Interleukin-17 receptor B
P01730;CD4;T-cell surface glycoprotein CD4
Q9UKX5;ITGA11;Integrin alpha-11
P50995;ANXA11;Annexin A11
P32970;CD70;CD70 antigen
P50591;TNFSF10;Tumor necrosis factor ligand superfamily member 10
O15455;TLR3;Toll-like receptor 3
P22304;IDS;Iduronate 2-sulfatase
Q8WXI8;CLEC4D;C-type lectin domain family 4 member D
P20340;RAB6A;Ras-related protein Rab-6A
Q9UIB8;CD84;SLAM family member 5
P10147;CCL3;C-C motif chemokine 3
P42702;LIFR;Leukemia inhibitory factor receptor
Q03431;PTH1R;Parathyroid hormone/parathyroid hormone-related peptide receptor
P24001;IL32;Interleukin-32
P01135;TGFA;Protransforming growth factor alpha
Q9GZT9;EGLN1;Egl nine homolog 1
P10144;GZMB;Granzyme B
P68106;FKBP1B;Peptidyl-prolyl cis-trans isomerase FKBP1B
Q9UMR7;CLEC4A;C-type lectin domain family 4 member A
O15169;AXIN1;Axin-1
P41217;CD200;OX-2 membrane glycoprotein
Q9NQ25;SLAMF7;SLAM family member 7
Q01344;IL5RA;Interleukin-5 receptor subunit alpha
P10145;CXCL8;Interleukin-8
O00273;DFFA;DNA fragmentation factor subunit alpha
Q99616;CCL13;C-C motif chemokine 13
P02745;C1QA;Complement C1q subcomponent subunit A
P43489;TNFRSF4;Tumor necrosis factor receptor superfamily member 4
Q13478;IL18R1;Interleukin-18 receptor 1
O75077;ADAM23;Disintegrin and metalloproteinase domain-containing protein 23
Q13241;KLRD1;Natural killer cells antigen CD94
P35613;BSG;Basigin
P30203;CD6;T-cell differentiation antigen CD6
P14317;HCLS1;Hematopoietic lineage cell-specific protein
O95971;CD160;CD160 antigen
Q9Y6Q6;TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A
P00813;ADA;Adenosine deaminase
P30044;PRDX5;Peroxiredoxin-5, mitochondrial
Q04637;EIF4G1;Eukaryotic translation initiation factor 4 gamma 1
O60884;DNAJA2;DnaJ homolog subfamily A member 2
Q15661;TPSAB1;Tryptase alpha/beta-1
P36959;GMPR;GMP reductase 1
O43561;LAT;Linker for activation of T-cells family member 1
Q9BZW8;CD244;Natural killer cell receptor 2B4
Q96LA5;FCRL2;Fc receptor-like protein 2
Q9UQV4;LAMP3;Lysosome-associated membrane glycoprotein 3
Q12918;KLRB1;Killer cell lectin-like receptor subfamily B member 1
P20273;CD22;B-cell receptor CD22
Q9BXN2;CLEC7A;C-type lectin domain family 7 member A
P40259;CD79B;B-cell antigen receptor complex-associated protein beta chain
P50452;SERPINB8;Serpin B8
O94856;NFASC;Neurofascin
Q14005;IL16;Pro-interleukin-16
Q96SB3;PPP1R9B;Neurabin-2
P14210;HGF;Hepatocyte growth factor
P15692;VEGFA;Vascular endothelial growth factor A
Q9H4D0;CLSTN2;Calsyntenin-2
P29460;IL12B;Interleukin-12 subunit beta
O43915;VEGFD;Vascular endothelial growth factor D
P48023;FASLG;Tumor necrosis factor ligand superfamily member 6
P49771;FLT3LG;Fms-related tyrosine kinase 3 ligand
P43234;CTSO;Cathepsin O
Q6UXB2;CXCL17;C-X-C motif chemokine 17
Q9Y266;NUDC;Nuclear migration protein nudC
P12544;GZMA;Granzyme A
P01137;TGFB1;Transforming growth factor beta-1 proprotein
Q12866;MERTK;Tyrosine-protein kinase Mer
Q15517;CDSN;Corneodesmosin
P51671;CCL11;Eotaxin
O00253;AGRP;Agouti-related protein
O43508;TNFSF12;Tumor necrosis factor ligand superfamily member 12
Q16719;KYNU;Kynureninase
Q9HBG7;LY9;T-lymphocyte surface antigen Ly-9
O15444;CCL25;C-C motif chemokine 25
Q8NFT8;DNER;Delta and Notch-like epidermal growth factor-related receptor
O00585;CCL21;C-C motif chemokine 21
P47712;PLA2G4A;Cytosolic phospholipase A2
Q99685;MGLL;Monoglyceride lipase
Q08334;IL10RB;Interleukin-10 receptor subunit beta
P35625;TIMP3;Metalloproteinase inhibitor 3
Q9HC38;GLOD4;Glyoxalase domain-containing protein 4
P02778;CXCL10;C-X-C motif chemokine 10
Q92484;SMPDL3A;Acid sphingomyelinase-like phosphodiesterase 3a
O43639;NCK2;Cytoplasmic protein NCK2
P01133;EGF;Pro-epidermal growth factor
O75462;CRLF1;Cytokine receptor-like factor 1
Q7KYR7;BTN2A1;Butyrophilin subfamily 2 member A1
P21709;EPHA1;Ephrin type-A receptor 1
P30613;PKLR;Pyruvate kinase PKLR
P18510;IL1RN;Interleukin-1 receptor antagonist protein
Q14210;LY6D;Lymphocyte antigen 6D
Q9NZV1;CRIM1;Cysteine-rich motor neuron 1 protein
P15260;IFNGR1;Interferon gamma receptor 1
P55145;MANF;Mesencephalic astrocyte-derived neurotrophic factor
Q9UJU6;DBNL;Drebrin-like protein
O14836;TNFRSF13B;Tumor necrosis factor receptor superfamily member 13B
Q99435;NELL2;Protein kinase C-binding protein NELL2
Q9BY76;ANGPTL4;Angiopoietin-related protein 4
P53634;CTSC;Dipeptidyl peptidase 1
P21860;ERBB3;Receptor tyrosine-protein kinase erbB-3
Q5ZPR3;CD276;CD276 antigen
P29279;CCN2;CCN family member 2
P13236;CCL4;C-C motif chemokine 4
Q07325;CXCL9;C-X-C motif chemokine 9
O76096;CST7;Cystatin-F
Q6UWV6;ENPP7;Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
P09238;MMP10;Stromelysin-2
P29350;PTPN6;Tyrosine-protein phosphatase non-receptor type 6
P78556;CCL20;C-C motif chemokine 20
P03956;MMP1;Interstitial collagenase
P11684;SCGB1A1;Uteroglobin
Q14116;IL18;Interleukin-18
Q9BZZ2;SIGLEC1;Sialoadhesin
P19256;CD58;Lymphocyte function-associated antigen 3
O95750;FGF19;Fibroblast growth factor 19
P0DMV8;HSPA1A;Heat shock 70 kDa protein 1A
P55773;CCL23;C-C motif chemokine 23
P34896;SHMT1;Serine hydroxymethyltransferase, cytosolic
P49763;PGF;Placenta growth factor
P25116;F2R;Proteinase-activated receptor 1
P09603;CSF1;Macrophage colony-stimulating factor 1
P09326;CD48;CD48 antigen
O43291;SPINT2;Kunitz-type protease inhibitor 2
Q15389;ANGPT1;Angiopoietin-1
O00241;SIRPB1;Signal-regulatory protein beta-1
O00626;CCL22;C-C motif chemokine 22
Q5KU26;COLEC12;Collectin-12
Q6GTX8;LAIR1;Leukocyte-associated immunoglobulin-like receptor 1
Q9UJA9;ENPP5;Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
O00300;TNFRSF11B;Tumor necrosis factor receptor superfamily member 11B
Q9Y6N7;ROBO1;Roundabout homolog 1
P51888;PRELP;Prolargin
O75888;TNFSF13;Tumor necrosis factor ligand superfamily member 13
Q8WU39;MZB1;Marginal zone B- and B1-cell-specific protein
Q9NZC2;TREM2;Triggering receptor expressed on myeloid cells 2
O00339;MATN2;Matrilin-2
Q9H3U7;SMOC2;SPARC-related modular calcium-binding protein 2
Q9NR12;PDLIM7;PDZ and LIM domain protein 7
P36941;LTBR;Tumor necrosis factor receptor superfamily member 3
Q8WXD2;SCG3;Secretogranin-3
P46109;CRKL;Crk-like protein
P16422;EPCAM;Epithelial cell adhesion molecule
Q03405;PLAUR;Urokinase plasminogen activator surface receptor
O43598;DNPH1;2'-deoxynucleoside 5'-phosphate N-hydrolase 1
Q9UII2;ATP5IF1;ATPase inhibitor, mitochondrial
Q9HCB6;SPON1;Spondin-1
Q9NQ30;ESM1;Endothelial cell-specific molecule 1
P27930;IL1R2;Interleukin-1 receptor type 2
Q15109;AGER;Advanced glycosylation end product-specific receptor
Q9UHX3;ADGRE2;Adhesion G protein-coupled receptor E2
Q4KMG0;CDON;Cell adhesion molecule-related/down-regulated by oncogenes
P09341;CXCL1;Growth-regulated alpha protein
P22466;GAL;Galanin peptides
Q9NQ76;MEPE;Matrix extracellular phosphoglycoprotein
Q6UXH1;CRELD2;Protein disulfide isomerase CRELD2
O14773;TPP1;Tripeptidyl-peptidase 1
Q9H008;LHPP;Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
P56470;LGALS4;Galectin-4
P24387;CRHBP;Corticotropin-releasing factor-binding protein
Q16651;PRSS8;Prostasin
Q96KG7;MEGF10;Multiple epidermal growth factor-like domains protein 10
Q92583;CCL17;C-C motif chemokine 17
Q99895;CTRC;Chymotrypsin-C
Q9UKU9;ANGPTL2;Angiopoietin-related protein 2
P01127;PDGFB;Platelet-derived growth factor subunit B
O75563;SKAP2;Src kinase-associated phosphoprotein 2
Q96PL1;SCGB3A2;Secretoglobin family 3A member 2
Q16363;LAMA4;Laminin subunit alpha-4
Q9Y3D6;FIS1;Mitochondrial fission 1 protein
P12532;CKMT1A_CKMT1B;Creatine kinase U-type, mitochondrial
Q99983;OMD;Osteomodulin
P25942;CD40;Tumor necrosis factor receptor superfamily member 5
P19883;FST;Follistatin
O95633;FSTL3;Follistatin-related protein 3
P15291;B4GALT1;Beta-1,4-galactosyltransferase 1
Q92956;TNFRSF14;Tumor necrosis factor receptor superfamily member 14
O95866;MPIG6B;Megakaryocyte and platelet inhibitory receptor G6b
Q9BYZ8;REG4;Regenerating islet-derived protein 4
P07148;FABP1;Fatty acid-binding protein, liver
Q15166;PON3;Serum paraoxonase/lactonase 3
Q8TEU8;WFIKKN2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2
Q8IYS5;OSCAR;Osteoclast-associated immunoglobulin-like receptor
P54317;PNLIPRP2;Pancreatic lipase-related protein 2
O00468;AGRN;Agrin
Q03403;TFF2;Trefoil factor 2
Q14118;DAG1;Dystroglycan
P19876;CXCL3;C-X-C motif chemokine 3
Q99538;LGMN;Legumain
O00182;LGALS9;Galectin-9
Q13232;NME3;Nucleoside diphosphate kinase 3
O00175;CCL24;C-C motif chemokine 24
Q9BU40;CHRDL1;Chordin-like protein 1
